# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -1.24453, -1.4789, -1.44569, -1.10495, -0.973186, -1.46378, -2.02253, -2.49697, -1.55343, -2.21259, -1.99226, -1.63542, -1.50148, -0.653435, -0.564527, -0.877289, -1.18609, -1.52345, -1.53641, -1.20073, -1.16691, -0.692408, -0.550403, -0.785138, -0.982106, -0.964126, -0.789938, -0.619828, -0.816078, -0.679887
0.02, 0.0319375, -0.912174, -0.827033, -0.87347, -1.05824, -0.398415, -0.68849, -0.648241, -0.909824, -0.839854, -1.14073, -0.629752, -0.834004, -1.30808, -0.915203, -0.493692, -0.722753, -0.783137, -0.749134, -0.636989, -0.583199, -0.547654, -0.2571, -0.215362, -0.777495, -0.856302, -0.353704, -0.277382, 0.140671, -0.0418877, -0.724342
0.04, 0.0319375, -2.08223, -0.959118, 0.249541, 0.0802398, -0.344451, -1.11639, -2.14823, -1.43657, -1.04557, -2.06268, -1.86099, -1.68975, -1.351, -0.873223, -1.0655, -1.25311, -1.02586, -1.24509, -1.71444, -1.27315, -0.172062, -0.244459, -0.280973, -0.832224, -0.978465, -0.870096, -0.458568, -0.264441, 0.0353069, -0.442376
0.06, 0.0319375, -2.20785, -2.00377, 0.666592, 2.72453, 1.58894, -0.913364, -1.46611, -0.662477, 0.969098, -1.3355, -2.57646, -0.814582, -0.310211, -0.895844, -0.0452738, -0.349155, -1.37776, -1.17825, -1.73033, -1.11391, -0.609927, -0.297006, -0.647021, -1.13083, -1.24085, -0.871248, -0.464581, -0.465865, -0.785228, -1.07738
0.08, 0.0319375, -2.51335, -1.52441, 1.81953, 3.00385, 0.682892, -1.34769, -1.43072, -0.00622909, 0.874409, -2.43063, -2.79722, -0.154097, -0.568713, -0.0106928, 1.40109, -1.09694, -0.513863, -0.781756, -0.450562, -0.434097, -0.561584, -0.241821, 0.384571, -1.64581, -1.00623, -0.38796, 0.137371, 0.376439, -1.16548, -1.25312
0.1, 0.0319375, -2.44763, -1.19156, 2.31554, 3.24802, 0.618284, -2.24572, -2.11075, 0.239191, 0.382453, -2.81313, -2.65918, 0.152367, -1.13048, 0.300142, 1.91097, -1.30059, -0.155718, -0.916119, -0.0961537, -0.623452, -0.385973, -0.482443, 0.300254, -0.903956, -0.971943, -0.54911, -0.378954, -0.299089, -1.28629, -1.24242
0.12, 0.0319375, -3.08321, -1.4896, 2.22692, 3.34474, 0.899212, -1.42423, -2.26545, 0.353955, 0.717112, -2.35144, -2.85749, 0.186918, -0.753691, 0.194463, 2.01848, -0.886072, -0.483817, -0.907365, -0.131257, -0.433036, -0.153478, -0.388961, 0.351889, -0.914763, -0.898698, -0.629171, -0.486856, -0.282926, -1.29708, -0.93228
0.14, 0.0319375, -2.11598, -1.86619, 1.65216, 3.304, 1.18004, -1.53418, -1.60328, 0.514393, 1.44894, -2.18156, -2.73392, 0.0979576, -0.0847282, -0.638652, 1.55797, 0.278216, -0.575795, -0.149065, -0.799742, -0.230756, -0.463178, -0.238832, 0.305759, -0.826423, -0.488185, -0.243385, 0.0538131, 0.292723, -0.747859, -0.553746
0.16, 0.0319375, -2.57111, -2.49562, 1.35782, 3.14254, 0.994473, -0.742461, -0.814849, 0.389189, 1.45093, -2.0952, -2.29898, 0.353909, 0.0332125, 0.189709, 1.52295, 0.119765, -0.528527, -0.215904, -0.930579, -0.339158, -0.46874, -0.344591, 0.484627, -0.37684, -0.528918, -0.0699064, 0.0415645, -0.140034, -0.446353, -0.50841
0.18, 0.0319375, -2.71056, -2.0814, 1.47856, 3.12871, 0.91338, -1.64942, -1.70485, 0.548297, 1.39395, -2.07792, -2.73411, 0.391041, -0.0343662, -0.308419, 1.79706, 0.209432, -0.581225, -0.351911, -1.05817, -0.604485, -0.626571, -0.677681, 0.149573, -0.465605, -0.483112, -0.0860011, 0.0376793, -0.131594, -0.545342, -0.362041
0.2, 0.0319375, -3.11498, -2.2559, 1.72492, 3.11615, 0.783897, -1.29059, -1.42841, 0.572325, 1.17522, -1.82442, -1.9193, 0.412623, -0.351111, -0.240231, 2.12691, 0.0488929, -0.409304, -0.312402, -0.828391, -0.589968, -0.774022, -0.960185, -0.262897, -0.581478, -0.73373, -0.864864, -0.493232, -0.639876, -0.587047, -0.640667
0.22, 0.0319375, -2.36644, -1.4808, 1.05482, 3.18606, 1.83704, -0.70755, -0.859276, -0.028187, 1.6828, -0.831706, -2.73936, 0.358897, 0.796905, -0.22207, 1.50532, 1.30605, -0.587158, 0.284936, -1.24958, 0.237101, -0.833371, 0.0648297, 0.897263, 0.694401, 0.160329, 0.595215, 0.0969363, -0.0860314, -0.217064, -0.810914
0.24, 0.0319375, -2.20779, -1.63644, 0.810497, 3.27004, 2.08733, -0.320718, -0.584929, -0.305418, 1.64353, -0.495099, -1.85651, 0.0197817, 0.693942, 0.306176, 1.45707, 1.51704, -1.01796, -0.115424, -1.3897, -0.29744, -1.1283, 0.323064, 0.735106, 0.581039, 0.0724072, 0.464882, 0.393372, 0.101477, 0.0822815, -0.267776
0.26, 0.0319375, -2.87364, -1.49879, 0.745003, 3.23329, 1.89315, -1.49686, -2.1439, -0.478235, 1.72131, -0.752671, -2.20471, 0.0674545, 0.714211, -0.606011, 1.261, 1.45376, -1.18738, -0.0235103, -1.4061, -0.310357, -1.1697, -0.168666, 0.752073, 0.649308, -0.0520704, 0.104981, 0.0475466, -0.497267, -0.227527, -0.390578
0.28, 0.0319375, -1.89639, -1.6936, 0.779955, 3.23693, 1.92174, -0.752961, -0.555702, -0.344718, 1.77724, -0.607373, -2.61431, 0.105367, 0.795489, 0.37054, 1.37848, 1.541, -0.852482, -0.327842, -2.30513, -0.218315, -1.25113, -0.207972, 0.62927, 0.43476, 0.0562513, 0.160719, 0.280411, -0.160844, 0.129959, -0.25834
0.3, 0.0319375, -1.8073, -1.47225, 0.98065, 3.1489, 1.49519, -0.0593675, 0.136853, 0.106281, 1.8202, -0.947592, -1.72225, 0.321126, 0.650204, 0.922313, 1.51039, 1.19552, -0.697584, -0.379211, -1.51272, -0.511216, -1.12984, -0.324943, 0.539076, 0.324194, -0.0362566, 0.170635, -0.285048, -0.288617, -0.126832, -0.050837
0.32, 0.0319375, -1.84944, -1.75049, 0.892417, 3.15042, 1.64318, -0.0435158, -0.0548834, 0.265264, 1.84947, -0.862928, -1.47976, 0.406558, 0.797866, 1.05706, 1.63412, 1.31952, -0.895221, -0.207976, -1.1736, -0.415422, -1.34571, -0.226464, 0.145619, 0.133353, 0.101477, 0.0366798, -0.0741724, 0.0234411, -0.793436, -0.916939
0.34, 0.0319375, -2.78766, -1.86531, 0.812935, 3.17999, 1.77748, -0.552198, -0.603685, -0.148086, 1.84011, -0.664564, -3.22663, 0.283141, 0.909256, 0.796256, 1.52925, 1.49774, -1.38837, -0.346593, -1.6727, -0.46008, -0.875118, -0.280908, 0.188106, 0.33367, 0.21454, 0.513385, 0.430191, -0.344484, -0.811459, -0.541951
0.36, 0.0319375, -3.33178, -1.97539, 0.803045, 3.14984, 1.68452, -0.985723, -0.735923, -0.27612, 1.7579, -0.864951, -2.02719, 0.319145, 0.820736, 0.760871, 1.45931, 1.40348, -1.15826, 0.102264, -1.13923, -0.275427, -1.10049, -0.36781, -0.198653, -0.213354, 0.021079, 0.782288, 0.667948, -0.385274, -0.768217, -0.788991
