# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -2.86079, -3.60658, -3.55977, -3.45389, -4.24091, -4.05143, -3.99072, -4.13067, -4.51761, -4.73939, -4.64291, -4.70513, -5.01414, -4.94057, -4.75219, -4.57671, -4.99678, -4.50592, -4.73204, -4.81838, -5.19309, -4.72731, -4.65915, -5.10591, -4.89829, -4.88159, -4.47364, -4.52007, -4.80203, -4.51275
0.02, 0.0319375, -3.17396, -3.81551, -4.52914, -3.9657, -3.94764, -4.02735, -4.38231, -4.26358, -4.10337, -4.618, -5.01485, -4.24676, -4.63012, -4.98765, -4.82514, -4.40211, -4.49689, -4.72134, -4.55782, -5.04196, -4.92538, -4.86176, -4.74295, -4.76761, -4.85046, -4.73626, -4.72681, -5.01766, -4.82861, -5.1042
0.04, 0.0319375, -3.89989, -3.31196, -3.50269, -3.58744, -4.20005, -4.92038, -4.12996, -4.21115, -4.41258, -4.24915, -4.89626, -4.65383, -4.44892, -4.58022, -4.28678, -4.22385, -3.86881, -3.82, -4.21655, -4.62006, -4.57647, -4.32228, -4.38313, -4.99982, -4.86615, -4.30043, -4.27101, -4.37116, -4.88013, -4.45141
0.06, 0.0319375, -2.91811, -3.05243, -3.87493, -4.25925, -4.59473, -4.49787, -4.73603, -4.04011, -4.73205, -4.57249, -4.85609, -4.76761, -4.3398, -4.38886, -4.53153, -4.62406, -4.59163, -4.9725, -4.7424, -5.09011, -5.02116, -5.06896, -4.83134, -4.67365, -4.97084, -5.07954, -5.05001, -4.6167, -4.62669, -4.61803
0.08, 0.0319375, -3.35517, -3.15405, -4.20662, -3.57215, -4.17687, -4.70201, -5.19075, -5.02535, -4.46627, -4.59705, -4.67564, -5.08697, -4.62764, -4.89757, -4.98809, -4.7466, -4.94971, -5.27127, -5.10139, -5.06109, -5.0391, -4.96714, -5.18283, -4.90595, -5.13949, -5.06795, -4.80458, -4.55793, -4.64545, -4.69838
0.1, 0.0319375, -3.04126, -3.47897, -4.2102, -4.08251, -3.94379, -4.33574, -3.73459, -4.03992, -4.72633, -4.54009, -4.59002, -4.91748, -4.61608, -4.82077, -4.56293, -5.18831, -5.29548, -5.2627, -4.83847, -5.0497, -5.12399, -5.19044, -5.23612, -5.0001, -4.985, -4.50213, -4.73636, -4.74498, -4.7772, -4.67513
0.12, 0.0319375, -3.38126, -3.92172, -3.51767, -3.88134, -4.74506, -4.122, -4.01584, -4.85795, -4.17352, -4.57342, -4.62694, -4.73203, -5.17825, -4.74459, -4.8978, -4.92779, -5.07509, -4.79051, -4.76342, -5.1773, -5.09929, -5.58328, -5.46703, -5.07898, -5.20755, -4.96084, -4.7128, -4.87984, -4.72176, -4.58643
0.14, 0.0319375, -4.07432, -3.36659, -3.79564, -4.11725, -4.4733, -4.6244, -4.66716, -4.99577, -5.07818, -5.03632, -5.63297, -5.18409, -5.30167, -4.6595, -5.21159, -5.0221, -5.06134, -4.9325, -4.69501, -5.08643, -5.5364, -5.1614, -5.01198, -5.10694, -4.98305, -4.87241, -4.49283, -4.5699, -4.89144, -4.698
0.16, 0.0319375, -3.42557, -3.51561, -4.26273, -3.78524, -4.72709, -5.11001, -4.2041, -4.38063, -4.20165, -4.39849, -4.69844, -5.08899, -4.57213, -4.10845, -4.00369, -3.82696, -3.87788, -4.25199, -4.48382, -4.79462, -4.68288, -4.65299, -4.6926, -5.01777, -5.08594, -4.90407, -4.85746, -4.80633, -4.43302, -4.45613
0.18, 0.0319375, -3.18768, -3.17633, -4.14047, -4.62678, -4.29747, -4.23458, -4.89824, -4.88164, -4.50559, -4.59131, -4.52898, -4.74958, -4.8681, -4.74331, -4.66997, -4.74563, -4.59637, -5.49945, -5.49095, -5.46623, -5.24248, -4.83591, -5.10157, -5.13479, -5.08446, -4.8503, -4.77896, -4.68928, -4.6939, -4.77522
0.2, 0.0319375, -3.60043, -3.32744, -3.70221, -3.45449, -3.62818, -4.67038, -4.03391, -4.39892, -4.07488, -4.40047, -4.43692, -4.60318, -4.38009, -4.84352, -4.82624, -4.87364, -4.92402, -5.1693, -5.17827, -5.07245, -5.28092, -4.96367, -5.24141, -5.41345, -5.29833, -4.9298, -4.75963, -4.78534, -4.98325, -4.8797
0.22, 0.0319375, -3.23031, -3.73935, -4.06535, -4.46406, -4.61238, -4.41349, -4.08571, -4.28658, -4.41711, -4.50183, -4.68733, -4.58942, -4.60054, -5.04114, -4.81322, -4.81862, -4.72682, -5.2517, -4.82085, -4.6968, -4.69529, -4.97843, -5.31446, -5.21272, -4.93213, -4.63518, -4.84, -4.95789, -4.62147, -4.78563
0.24, 0.0319375, 0.643364, 1.63042, 1.19488, 1.38729, 1.82529, 1.29805, 1.25332, 0.406846, 0.348231, 1.16048, 0.498983, 0.507969, -0.0523107, -0.81639, -1.18038, -1.28961, -0.563669, -0.799244, -1.10887, -1.89755, -2.37117, -2.80096, -2.53834, -2.26264, -1.91739, -1.63673, -1.35694, -1.69314, -2.82447, -2.68129
0.26, 0.0319375, 0.907252, 0.564785, 0.977242, 0.691095, 1.34348, 0.862224, 1.11144, 0.36444, 0.386147, -0.224979, -0.351534, -0.718235, -1.21756, -1.66527, -1.84661, -1.49829, -1.58355, -1.8139, -2.4344, -3.55622, -3.5181, -3.83742, -3.32281, -3.70381, -3.35275, -3.1988, -2.99128, -3.07126, -2.8074, -3.05219
0.28, 0.0319375, 0.353566, 0.318428, 0.253757, 0.551819, 0.888336, -0.0426179, 0.076291, 0.246452, -0.0644412, -0.596505, -1.05207, -0.769856, -1.57384, -2.11347, -2.31335, -2.58254, -2.49615, -2.56902, -2.97137, -3.87398, -4.34976, -4.26331, -4.14738, -3.93331, -3.97665, -3.93951, -3.92164, -4.20258, -4.12303, -4.05951
0.3, 0.0319375, -0.00950025, 0.0670638, -0.0371393, -0.152233, 0.161834, 0.0602013, -0.0518067, -0.364498, -0.715757, -0.813553, -1.39239, -1.51395, -1.97057, -1.92996, -2.8627, -2.87794, -2.86077, -3.04529, -3.42778, -3.84939, -4.73458, -4.3857, -3.98438, -4.08572, -3.97919, -4.16073, -4.24235, -4.21173, -4.43307, -4.45218
0.32, 0.0319375, -0.806649, -1.30836, -1.01773, -0.279853, -0.295034, -1.06076, -0.336257, -0.0503155, -0.906727, -0.923465, -1.58299, -1.80884, -2.09056, -2.52402, -3.20759, -3.47314, -3.46958, -3.56974, -3.51714, -4.49695, -4.12185, -4.2232, -4.21503, -4.27065, -4.01184, -4.05786, -4.03138, -3.74724, -4.1819, -4.34673
0.34, 0.0319375, -0.677523, -0.836147, -0.66075, -0.932603, -0.468464, -0.185288, -0.837206, -0.845596, -0.860095, -1.20638, -1.81899, -1.70093, -1.81369, -2.52622, -3.11623, -3.0927, -3.57031, -3.1871, -3.52229, -3.76939, -4.20214, -4.56807, -4.58278, -4.4899, -4.46146, -4.30692, -4.23114, -4.15986, -4.00025, -4.06565
0.36, 0.0319375, -1.06726, -1.06273, -0.967948, -0.625211, -0.320332, -0.69343, -0.798513, -0.927781, -1.64979, -1.80598, -2.22659, -2.11055, -2.18737, -2.64352, -3.67117, -3.97312, -4.1197, -3.88197, -3.85449, -4.58898, -4.45645, -4.9238, -4.56286, -4.49063, -4.29537, -4.53519, -4.52255, -4.62317, -4.41495, -4.59667
0.38, 0.0319375, -0.80825, -0.378586, -0.230832, -1.1347, -0.698258, -0.930925, -1.0904, -1.50894, -1.77559, -2.3677, -2.00648, -2.32212, -2.81129, -2.97372, -3.98217, -4.21031, -3.88377, -4.02636, -4.26213, -4.83828, -4.45711, -4.89942, -4.82598, -4.74038, -4.70839, -4.44761, -4.54742, -4.80458, -4.99869, -5.01597
0.4, 0.0319375, -0.88771, -1.41509, -0.964886, -1.8541, -0.449599, -0.516906, -1.01873, -1.50622, -1.76219, -1.93503, -2.33423, -2.62813, -2.89248, -3.36768, -4.17929, -4.66912, -4.3985, -4.0357, -4.49694, -5.00946, -4.77577, -4.94881, -5.36954, -5.21607, -5.15466, -5.11111, -4.89749, -4.83759, -5.06553, -4.89802
0.42, 0.0319375, -1.32862, -1.8518, -0.743019, -0.990413, -1.20433, -1.81323, -1.74777, -1.67846, -1.71007, -2.94614, -2.62683, -3.34733, -3.70114, -3.62377, -3.58049, -4.45869, -4.27561, -4.27954, -4.54156, -5.23256, -5.17807, -5.0994, -4.96609, -4.94787, -4.9823, -4.94528, -4.8686, -4.85246, -5.30152, -4.93167
0.44, 0.0319375, -1.57651, -1.43956, -1.40265, -1.55122, -1.87956, -2.27378, -1.4319, -1.65019, -1.94144, -2.39031, -3.30801, -3.57112, -3.40789, -3.92961, -4.28875, -4.81201, -4.81585, -5.02115, -4.97713, -5.11213, -5.28577, -5.06234, -4.89365, -5.26973, -5.14748, -4.78866, -4.63843, -4.5787, -4.96054, -4.58678
0.46, 0.0319375, -2.18801, -2.83909, -3.06097, -2.37353, -1.33032, -1.96476, -2.0024, -1.88907, -2.35618, -2.69843, -3.70396, -3.20589, -3.47832, -3.90684, -4.11494, -4.54851, -4.56927, -4.75895, -5.00703, -5.24319, -5.15225, -5.06993, -5.02498, -5.43515, -5.09615, -4.95287, -4.86366, -4.89818, -5.00131, -5.12338
0.48, 0.0319375, -1.71081, -1.61054, -2.02222, -2.43493, -1.64531, -1.83085, -2.1876, -1.59527, -2.77681, -2.76299, -3.18187, -3.50014, -3.57013, -4.18216, -4.1654, -4.48914, -4.51406, -4.97931, -4.96982, -5.23044, -5.16858, -5.39501, -5.24548, -5.40567, -5.78628, -5.69707, -5.079, -5.10344, -5.39138, -5.2631
0.5, 0.0319375, -1.95985, -2.07183, -1.90818, -2.35984, -2.32547, -2.34867, -2.09755, -2.54627, -2.75341, -2.77943, -3.33382, -3.30026, -3.56364, -4.35788, -4.49136, -4.81475, -5.32897, -5.31289, -4.87971, -5.07513, -5.07066, -5.17803, -5.23752, -5.48641, -5.15071, -5.19496, -4.87849, -4.61596, -4.96149, -5.23023
0.52, 0.0319375, -1.92532, -2.19585, -2.30474, -2.58852, -2.41044, -2.48181, -2.43454, -2.95805, -2.80361, -2.79098, -3.85128, -3.46417, -2.84877, -2.74409, -2.87711, -3.23748, -3.56666, -3.64609, -3.70337, -4.13153, -4.14006, -4.20311, -4.37406, -4.4775, -4.28485, -4.1935, -4.6276, -4.99987, -4.80302, -4.68941
0.54, 0.0319375, -2.44098, -2.39654, -2.55186, -2.59057, -1.99316, -2.56771, -2.59325, -3.08978, -3.50524, -3.27584, -3.76773, -3.76144, -3.99898, -4.16001, -4.76601, -4.5229, -4.7314, -4.61311, -4.41733, -4.65575, -4.79256, -4.96045, -5.18256, -4.55308, -4.51538, -4.44666, -4.47543, -4.23658, -4.25941, -4.48596
0.56, 0.0319375, -2.53232, -3.79103, -3.4019, -3.3609, -2.90353, -3.33752, -2.89776, -3.31834, -3.70127, -3.56927, -3.95718, -4.27791, -4.28482, -3.43402, -4.27972, -4.52673, -4.39341, -4.09037, -4.31667, -4.92204, -4.72777, -4.89835, -4.69256, -4.86066, -4.94986, -4.30529, -3.98765, -4.13268, -4.36792, -4.66719
0.58, 0.0319375, -2.83234, -2.85732, -2.8131, -2.85317, -3.11001, -2.97044, -2.91283, -2.93376, -3.53188, -3.71653, -4.56704, -4.11174, -4.72356, -4.81489, -4.93322, -4.35098, -4.0331, -4.06389, -4.37309, -4.84663, -4.51263, -4.2862, -4.27714, -4.58215, -4.14839, -3.95588, -3.61357, -3.44314, -3.44799, -3.71933
0.6, 0.0319375, -2.56258, -2.94929, -3.0193, -3.09155, -2.9822, -3.66385, -3.68694, -3.6603, -4.19654, -3.90404, -4.73114, -4.61179, -4.6433, -4.4144, -4.91306, -5.09595, -4.70801, -4.64527, -5.22496, -5.17442, -5.01218, -5.32561, -5.12017, -4.95894, -5.03566, -4.63859, -4.71141, -4.60191, -4.69648, -4.80071
0.62, 0.0319375, -3.27364, -3.28321, -3.51106, -3.4629, -3.0768, -3.59591, -3.00985, -3.2579, -3.9968, -4.35118, -5.09258, -4.68913, -4.66541, -4.25727, -4.37404, -5.03133, -4.96039, -4.88667, -4.88976, -5.17235, -5.30435, -4.83988, -5.1127, -4.97854, -4.86984, -4.94155, -4.89055, -4.63393, -4.63511, -4.98802
0.64, 0.0319375, -3.88804, -3.34618, -3.23682, -4.0189, -2.99812, -3.5177, -3.64624, -3.49492, -3.9139, -4.12506, -4.70415, -4.3389, -4.52642, -4.56227, -4.55599, -4.49287, -4.48974, -4.85041, -5.03662, -5.26592, -5.65118, -5.10285, -5.13183, -5.41147, -4.95396, -4.86428, -5.06733, -4.79652, -4.60371, -4.58887
0.66, 0.0319375, -3.8456, -3.71443, -3.31354, -3.60511, -3.05265, -3.88782, -3.71167, -3.77869, -4.24464, -3.98412, -4.58714, -4.47272, -4.33496, -4.55555, -4.58176, -4.83147, -4.59283, -5.05535, -4.94876, -4.78903, -4.53862, -5.0818, -4.86429, -4.61941, -4.81541, -4.60292, -4.37501, -4.09324, -4.27029, -4.44177
0.68, 0.0319375, -3.11015, -3.02407, -4.13839, -4.20942, -4.26188, -3.78671, -4.08094, -4.26778, -3.89366, -4.00108, -4.67431, -4.33502, -4.4084, -4.28794, -4.7535, -4.71182, -5.39432, -5.22991, -5.0542, -4.87816, -4.80407, -4.7764, -4.59063, -4.94457, -5.29364, -4.98763, -4.39319, -4.3055, -4.42907, -4.37792
0.7, 0.0319375, -3.42264, -3.40395, -4.55149, -3.27918, -3.05804, -3.71856, -3.66, -4.26894, -4.57911, -4.36941, -4.58809, -4.75417, -4.59702, -4.99129, -5.20924, -4.78695, -4.77457, -4.61817, -4.86381, -4.75435, -5.02367, -4.92503, -4.76783, -5.06212, -5.0795, -4.90253, -4.87193, -4.84394, -4.7669, -4.57933
0.72, 0.0319375, -3.93093, -3.77258, -3.60545, -4.25758, -4.22487, -3.98393, -4.51183, -3.89676, -4.32633, -4.57222, -4.95966, -5.07047, -4.98574, -4.766, -4.78777, -5.0455, -4.85198, -5.17874, -4.99651, -4.97203, -5.20205, -5.13765, -5.07613, -5.19394, -4.78309, -5.13, -4.92411, -4.50945, -4.66845, -4.85363
0.74, 0.0319375, -3.39148, -3.88545, -3.65173, -3.93886, -3.4963, -4.10642, -4.37415, -4.46169, -4.65293, -4.27796, -5.31404, -5.16354, -4.70901, -4.70077, -4.74415, -5.20828, -5.43449, -5.24615, -5.1252, -5.05043, -5.07834, -5.1173, -4.9012, -4.88901, -5.10066, -4.91785, -4.92331, -4.78443, -4.79924, -4.75298
0.76, 0.0319375, -4.02288, -4.25792, -3.73325, -3.66705, -3.13072, -3.96868, -3.66222, -3.86937, -4.37464, -4.38309, -4.65244, -4.85059, -4.77007, -4.60926, -4.90537, -4.93955, -5.35621, -4.76757, -5.1345, -5.06379, -5.2242, -5.20776, -4.89076, -5.07523, -5.44707, -5.14885, -4.81818, -4.81944, -4.96943, -4.89029
0.78, 0.0319375, -3.01354, -3.36358, -3.69672, -3.09123, -3.31115, -4.14719, -4.29607, -4.26489, -4.67583, -4.52611, -4.26973, -4.64831, -4.6955, -4.59339, -4.61633, -4.63145, -4.72063, -4.67075, -5.16135, -4.95724, -5.24968, -5.16738, -5.06815, -5.1112, -5.01301, -4.98211, -4.80827, -4.69044, -4.69223, -4.64091
0.8, 0.0319375, -3.4292, -3.33997, -4.15742, -3.9781, -3.75381, -4.07746, -4.9579, -4.8256, -5.36974, -4.36233, -4.20406, -4.74162, -4.76106, -5.13531, -5.45934, -5.57447, -5.27873, -4.87269, -4.76054, -5.03625, -5.23526, -5.14091, -5.18035, -5.1374, -5.05941, -5.06798, -4.65649, -5.03495, -4.79628, -4.66861
0.82, 0.0319375, -4.6227, -4.01552, -3.91289, -3.98933, -3.83122, -3.88665, -4.69347, -4.66282, -4.47075, -4.22001, -5.29786, -4.7329, -4.73895, -4.94195, -5.61802, -5.05527, -4.98131, -4.82602, -4.94979, -5.30819, -4.93152, -5.31729, -5.11824, -5.18979, -5.12048, -5.11773, -5.21301, -5.27375, -5.06286, -5.19124
0.84, 0.0319375, -3.52816, -3.31949, -3.77584, -3.38676, -3.70302, -4.44645, -4.00659, -3.96548, -4.12843, -4.45185, -4.63426, -4.88431, -4.52552, -4.05077, -3.92901, -3.99963, -4.39317, -4.33732, -4.79676, -4.57243, -4.28557, -4.36902, -4.78435, -4.85054, -5.42488, -5.23146, -4.88047, -4.89615, -4.1865, -3.61625
0.86, 0.0319375, -3.19197, -3.53098, -4.19513, -3.87466, -4.2354, -4.9611, -5.44556, -4.78222, -4.75261, -4.19291, -4.51413, -5.27781, -5.18853, -5.1741, -5.36762, -4.59856, -5.14829, -5.16758, -5.14473, -5.1316, -5.18005, -5.27385, -5.25104, -4.83673, -4.69743, -5.03781, -4.96263, -4.96952, -4.94941, -4.79394
0.88, 0.0319375, -3.59323, -4.10568, -3.50216, -3.5757, -3.88679, -4.01494, -4.0118, -4.67125, -4.34652, -4.64164, -4.83992, -4.48004, -4.68316, -4.43697, -4.86955, -5.49889, -5.49088, -4.99767, -5.35196, -5.34748, -5.26523, -5.1197, -5.13061, -5.23108, -5.12314, -5.16273, -4.79371, -4.5698, -5.00153, -4.81201
0.9, 0.0319375, -0.188601, 0.0379905, -0.48204, -0.600555, -0.236797, -0.726147, -1.42057, -2.38423, -2.35353, -1.55675, -1.6512, -1.7423, -1.24217, -1.6789, -1.14703, -1.35585, -1.8054, -2.45469, -3.0973, -3.47186, -2.89432, -2.92266, -2.94014, -3.27419, -3.35979, -3.19332, -2.94885, -3.74988, -3.52675, -3.05959
0.92, 0.0319375, 0.81092, 1.3645, 0.77512, 0.604468, 0.637678, -0.0410782, -0.686452, -1.65738, -1.50334, -1.24769, -0.929494, -0.987985, -0.784505, -1.41483, -1.77765, -1.751, -2.1302, -2.96419, -3.3796, -4.04809, -3.78879, -3.94009, -3.86606, -3.99527, -4.05799, -3.77002, -3.72386, -3.8029, -3.84441, -4.00146
0.94, 0.0319375, 0.0160939, 0.283212, -0.220472, -1.10091, -0.654769, -1.70833, -2.03837, -2.39587, -2.25725, -2.27687, -2.08012, -1.90943, -1.86995, -2.09431, -2.2917, -2.57386, -2.97906, -3.79198, -3.92061, -4.51815, -4.0536, -3.80597, -4.12493, -4.35461, -4.23955, -3.96079, -4.0825, -4.26513, -4.18535, -4.08369
0.96, 0.0319375, 0.506821, -0.370234, -0.823334, -0.496213, -0.658989, -0.587958, -1.6968, -2.15883, -2.67469, -2.2469, -2.17325, -2.14669, -2.01432, -2.05624, -2.7328, -2.92306, -3.3465, -3.79517, -4.07431, -3.8962, -4.76401, -4.41593, -4.49985, -4.47104, -4.99382, -4.48212, -4.30485, -4.52001, -4.4091, -4.36997
0.98, 0.0319375, -0.801291, -1.45913, -0.996424, -0.870389, -1.52814, -2.02116, -2.2524, -2.64507, -2.75975, -2.71459, -2.94324, -2.72225, -2.46097, -2.83878, -2.62962, -3.11871, -3.53706, -4.16937, -4.49497, -4.48337, -5.06397, -4.76514, -4.92499, -4.88637, -4.86992, -4.5559, -4.49391, -4.69266, -4.60154, -4.27734
1, 0.0319375, -0.180197, -0.57997, -0.229323, -0.419341, -0.961952, -1.69475, -1.32298, -1.95035, -2.3616, -2.0361, -2.30628, -1.87031, -2.65265, -2.68859, -2.49765, -3.03659, -3.49908, -4.33142, -3.88837, -3.57818, -3.76702, -4.29877, -4.60567, -4.16414, -4.27034, -3.68526, -3.61584, -3.71333, -3.96774, -4.0781
1.02, 0.0319375, -0.0676214, -0.924495, -1.30447, -1.63484, -1.74182, -1.88306, -2.12119, -3.00683, -3.93718, -2.89893, -2.81303, -2.79221, -2.90323, -3.20172, -3.49626, -3.86696, -4.67488, -4.23889, -4.14711, -4.33521, -4.44796, -4.52465, -5.00966, -4.37725, -4.09782, -4.62915, -4.38776, -4.15218, -4.18107, -4.24569
1.04, 0.0319375, -0.670512, -1.13157, -0.955307, -1.56894, -1.81345, -2.18052, -2.08801, -3.1759, -3.89662, -3.73756, -3.27095, -2.82359, -2.80136, -3.21231, -3.69108, -3.8306, -3.99146, -4.36594, -4.83606, -4.91567, -4.8971, -4.63793, -4.74082, -4.87684, -4.5695, -4.45394, -4.14032, -4.25518, -4.35054, -4.33633
1.06, 0.0319376, -1.23863, -1.33358, -1.57133, -2.51812, -2.11556, -2.62249, -2.79235, -3.233, -3.53163, -3.6978, -3.95234, -3.20371, -3.25106, -3.60142, -4.10477, -4.39362, -4.15269, -4.51724, -4.59541, -5.18423, -5.09668, -5.03141, -4.91276, -4.88556, -4.73152, -4.825, -4.71779, -4.54279, -4.53014, -4.65478
1.08, 0.0319375, -1.53171, -1.45255, -1.86447, -1.68918, -1.81404, -4.132, -3.55237, -3.21152, -4.02752, -3.65074, -3.74042, -3.48621, -3.88933, -3.89742, -3.48513, -4.13047, -4.89708, -4.80963, -4.83719, -5.01949, -5.37224, -5.00069, -5.20971, -5.1621, -4.81667, -4.9898, -4.79317, -4.59609, -5.00613, -4.80483
