# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -0.292132, 0.429109, -1.22784, -1.02957, -0.662774, -1.0336, -1.57072, -1.32724, -1.19222, -1.72135, -2.06723, -2.63819, -2.46436, -2.59481, -2.66518, -1.70321, -1.74774, -2.65593, -2.47398, -2.15905, -1.85682, -1.88955, -1.49694, -1.54617, -1.4882, -1.04159, -0.999656, -1.335, -1.22258, -0.603271
0.02, 0.0319375, -0.134162, 0.0140808, -0.730378, -0.237992, -0.625373, -1.74107, -2.03687, -1.24101, -1.41328, -1.62598, -2.19244, -1.61348, -2.04638, -2.29035, -2.39815, -2.06051, -2.33782, -2.62504, -2.10431, -1.73982, -1.92348, -1.46535, -1.54676, -1.48209, -1.19867, -1.45455, -1.21202, -0.885742, -1.00817, -0.928333
0.04, 0.0319375, -0.289655, 0.150676, -1.08045, -0.940419, -0.983922, -0.996801, -1.39132, -0.798613, -1.82614, -1.58186, -1.77213, -1.96933, -2.17031, -1.81529, -1.60717, -2.29012, -1.80919, -1.92986, -2.07467, -1.9931, -1.65166, -1.83945, -1.4992, -1.57269, -1.36478, -0.867004, -0.830573, -0.888159, -1.17776, -1.0167
0.06, 0.0319375, -0.0121811, -0.646222, -1.6813, -0.547867, -0.459128, -1.24715, -1.26674, -1.239, -0.709402, -0.629301, -1.31664, -2.00294, -1.24063, -1.55091, -1.71564, -1.74197, -1.33756, -1.11964, -0.866866, -0.596227, -0.515189, -0.680723, -0.270116, -0.596687, -0.036425, 0.176764, 0.623439, 1.1148, 1.27749, 1.12837
0.08, 0.0319375, 0.343441, 0.427613, -1.06607, 0.0251103, -0.629006, -1.53787, -1.44539, -0.827438, -1.62787, -1.79111, -1.80643, -1.59487, -1.68585, -2.01949, -1.71454, -1.67574, -1.83906, -1.4561, -1.63882, -1.44879, -1.64968, -1.33777, -1.12409, -0.950258, -0.326303, -0.363401, -0.592159, -0.500356, -0.460561, -0.349943
0.1, 0.0319375, 0.0385585, -0.338245, -1.0119, -0.683948, -0.991839, -1.11684, -0.741239, -0.537009, -0.675776, -1.2382, -1.35108, -1.05765, -0.871841, -0.77141, -1.14896, -0.441238, -0.433568, -0.340797, -0.122519, -0.197217, 0.276612, 0.349267, 0.830976, 0.764992, 0.896234, 1.05072, 0.988968, 0.855357, 0.578586, 1.00214
0.12, 0.0319375, 0.34476, -0.597088, -1.14134, -0.366738, -0.418211, -1.63104, -1.71161, -1.32925, -1.38592, -1.59276, -1.28767, -1.56911, -1.39577, -1.38621, -0.881152, -0.915478, -1.36577, -1.4091, -1.09754, -0.941497, -1.18261, -1.29558, -1.16166, -0.948575, -0.678117, -0.481211, -0.35715, -0.0201701, 0.0937113, -0.150996
0.14, 0.0319375, -0.436705, -0.0618616, -0.925363, -0.329741, -0.642189, -1.44153, -1.31609, -0.959963, -1.86583, -2.15687, -1.77561, -2.17025, -2.00078, -2.27272, -2.58275, -2.18748, -1.9703, -1.82957, -1.73214, -1.90543, -1.27658, -1.2039, -1.15826, -1.42547, -1.16976, -1.02344, -1.21999, -0.744834, -0.107131, 0.117726
0.16, 0.0319375, 0.696067, 0.269305, -1.36831, -0.533626, -0.671306, -1.53284, -0.805838, -1.34402, -1.09979, -1.3584, -2.09323, -2.55634, -1.84753, -2.28447, -2.35361, -2.03205, -1.92603, -2.12692, -2.13668, -1.93236, -1.60414, -1.58888, -1.40037, -1.37474, -1.79072, -1.31429, -0.947894, -0.951244, -0.84601, -0.637635
0.18, 0.0319375, 0.228808, 0.382544, -0.683872, -0.233194, -0.471652, -1.261, -0.765639, -1.67758, -1.64408, -2.27223, -1.87658, -1.78002, -2.2262, -1.69696, -1.99183, -1.89888, -1.69106, -1.5036, -1.45443, -1.56148, -1.37096, -1.19602, -1.45862, -1.1869, -0.966166, -0.760239, -0.417101, -0.348933, 0.142551, 0.444163
