# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894, -8.07894
0.02, 0.0319375, -0.66387, -0.101063, -0.0492287, -0.300529, -0.491811, -0.799299, -0.784609, -0.51472, 0.123172, 0.49611, 0.368729, 0.114175, -0.0456593, -0.477083, 0.0910961, 0.162323, -0.268854, -0.361994, -1.15098, -0.724464, -0.858863, -0.494962, -0.10744, 0.0812338, -0.152606, -0.586459, -0.277439, -1.33147, -0.592956, -0.207595
0.04, 0.0319375, 0.826329, 1.9001, 1.77197, 0.796692, 1.42361, 1.25756, 1.74932, 1.51155, 2.26079, 2.15441, 1.72067, 1.45643, 1.47723, 1.49404, 1.32622, 1.16858, 1.29649, 1.68079, 1.55037, 1.49682, 1.39981, 1.43457, 1.52895, 1.19696, 1.08768, 1.24699, 1.43946, 1.21756, 1.10916, 1.37485
0.06, 0.0319375, 0.595755, 0.546862, -0.00817646, 1.15158, 1.44559, 1.42994, 1.1827, 1.83272, 1.88576, 1.54354, 1.12746, 1.5957, 1.78941, 1.58976, 1.28291, 0.863754, 1.13233, 1.38863, 1.48882, 1.14478, 1.06355, 1.28748, 1.11875, 1.31198, 1.53736, 1.28706, 1.34288, 1.132, 1.33993, 1.2766
0.08, 0.0319375, 0.6377, 0.557661, 1.12569, 0.920766, 1.68574, 0.931351, 0.793631, 1.69507, 1.89599, 1.91546, 1.4844, 1.75425, 1.04269, 0.691412, 1.56741, 1.5358, 1.30466, 1.02765, 1.12491, 1.21162, 1.47125, 1.44252, 1.16728, 1.175, 1.28521, 0.882474, 1.08446, 1.3341, 1.29432, 1.44342
0.1, 0.0319375, 0.587487, 0.887034, 1.07814, 1.23177, 1.13653, 1.70181, 0.933309, 0.973235, 0.95943, 1.6532, 1.45762, 1.5564, 1.29687, 0.913448, 0.781359, 1.44877, 1.63641, 1.50091, 1.82883, 1.25108, 1.00798, 1.0009, 1.29401, 1.44694, 1.32178, 1.22531, 1.06055, 1.01259, 1.33172, 1.40349
0.12, 0.0319375, 0.767088, 1.40852, 0.827104, 0.875825, 1.59905, 1.41824, 1.20148, 1.18885, 1.9896, 1.91605, 1.30908, 1.38974, 1.9608, 1.40192, 1.06793, 1.60242, 1.63204, 1.6089, 1.20654, 1.54987, 1.22734, 1.53689, 1.58391, 1.17293, 1.10927, 1.05766, 1.37099, 1.30899, 1.44469, 0.969053
0.14, 0.0319375, 0.345474, -0.0890569, 1.20561, 1.57613, 2.04782, 1.04719, 1.50402, 1.49279, 1.3858, 2.14499, 1.94026, 1.87937, 2.01816, 1.87614, 1.94063, 2.77721, 2.27541, 1.81547, 1.8106, 1.29139, 1.91376, 2.08406, 2.18421, 2.01386, 1.91906, 2.051, 1.92249, 1.90981, 1.38579, 1.46854
0.16, 0.0319375, 0.201518, -0.424196, 0.861863, 1.30881, 1.37002, 1.80639, 1.74989, 1.51276, 2.26242, 2.20568, 1.74691, 1.1606, 1.67514, 1.58876, 1.41219, 2.25799, 1.84482, 1.91661, 1.86391, 1.19686, 1.67625, 1.78367, 1.38921, 1.25998, 1.54837, 1.62736, 1.48266, 1.21078, 1.36639, 1.19914
0.18, 0.0319375, 0.586243, 1.22635, 1.39146, 1.51396, 1.74296, 1.16627, 1.22494, 1.79652, 1.92469, 2.07856, 1.93189, 1.89589, 1.73364, 1.9474, 1.88399, 1.49658, 1.38453, 1.51972, 1.72384, 1.72766, 1.53336, 1.29633, 1.57724, 1.32321, 1.50806, 1.67378, 0.997105, 1.14275, 1.24468, 1.3229
0.2, 0.0319375, 1.0528, 1.13441, 1.18863, 2.04155, 2.01172, 1.16701, 1.42532, 1.6786, 2.2332, 2.41405, 1.13757, 1.32721, 1.96996, 1.09595, 1.17118, 1.22805, 1.29096, 1.56589, 1.47327, 1.18486, 1.58263, 1.68308, 1.33624, 1.14924, 1.6452, 1.4671, 1.34655, 0.983376, 1.30147, 1.62239
0.22, 0.0319375, 1.01327, 0.62225, 1.54783, 1.37867, 1.39162, 1.31121, 1.20869, 1.8934, 2.33308, 2.19088, 1.47531, 1.32299, 1.16859, 1.20053, 1.52809, 1.52486, 1.49293, 1.29388, 1.09099, 1.37269, 1.35378, 0.973436, 1.54067, 1.35579, 1.63764, 1.56828, 1.42495, 1.3207, 1.5246, 1.17423
0.24, 0.0319375, 0.89791, 1.36797, 1.7073, 1.67571, 1.52236, 0.936115, 1.31874, 1.92203, 2.45451, 2.31105, 1.49653, 1.86709, 2.15703, 1.63229, 1.66438, 1.00366, 1.30661, 1.29124, 0.950055, 1.41696, 1.28905, 1.29122, 1.37537, 1.28388, 1.44093, 1.44379, 1.29761, 0.989606, 0.966917, 1.19187
0.26, 0.0319375, 0.577759, 0.57394, 1.65857, 2.02542, 1.39733, 1.3904, 1.52486, 1.564, 1.89032, 2.11264, 1.80076, 1.07414, 1.65186, 2.11417, 1.62744, 1.7597, 1.81148, 1.41158, 1.27352, 1.86785, 1.73173, 1.73407, 1.69749, 1.50569, 1.56329, 1.72745, 1.77057, 1.98248, 1.95766, 1.78418
0.28, 0.0319375, 0.637813, 1.43046, 1.79136, 1.42908, 1.88246, 1.87852, 1.62952, 1.67218, 1.54279, 1.93341, 1.805, 1.66092, 1.63969, 1.46827, 1.31953, 1.61467, 1.23011, 1.08312, 1.405, 1.31159, 1.55478, 1.12306, 1.40328, 1.32322, 1.68165, 1.23565, 1.37922, 1.2667, 1.33042, 1.3794
