# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -4.2042, -4.35774, -5.14012, -5.86453, -5.02846, -4.85391, -4.57947, -4.3273, -4.10027, -3.88032, -4.58272, -4.25042, -4.61309, -4.65178, -4.95309, -4.85949, -5.41201, -5.6555, -5.05824, -5.75831, -5.99761, -5.9035, -5.96363, -5.8453, -5.60396, -5.87759, -5.94462, -5.9763, -5.94014, -5.69009
0.02, 0.0319375, -3.20021, -3.54127, -3.78694, -3.94928, -4.49084, -4.20232, -3.43172, -3.15781, -2.9874, -3.32325, -3.72514, -3.47343, -3.44811, -3.82916, -3.82643, -4.15918, -4.6304, -5.19314, -4.88682, -4.81962, -5.16656, -5.17774, -5.35883, -5.3705, -5.57678, -5.29016, -5.36677, -5.18214, -5.51432, -4.77612
0.04, 0.0319375, -2.71694, -3.4058, -3.10711, -3.17672, -3.70901, -3.1262, -2.97769, -3.13264, -2.75526, -2.54326, -3.33945, -3.22875, -3.07409, -3.00859, -3.77929, -4.18273, -3.99274, -4.03328, -4.16182, -4.52707, -4.51889, -4.73605, -4.53291, -4.56162, -5.11151, -4.8533, -4.7286, -4.87118, -4.56742, -4.47042
0.06, 0.0319375, -2.61171, -2.23934, -3.1877, -2.99006, -2.4491, -3.27401, -3.22761, -2.51623, -2.20583, -2.34872, -2.46425, -2.37494, -2.56503, -2.48053, -2.36663, -3.25433, -2.9676, -3.10097, -3.92384, -4.12508, -4.22699, -4.08957, -4.17523, -4.21501, -4.09386, -4.2123, -4.57925, -4.2989, -4.15106, -4.06587
0.08, 0.0319375, 1.61541, 1.59299, 1.30277, 0.851306, 2.20179, 2.51868, 2.35709, 2.45142, 2.62582, 2.42546, 2.50395, 2.8097, 3.05497, 2.90798, 2.46244, 2.41151, 2.60566, 2.18835, 1.87033, 1.74776, 1.5362, 1.65381, 1.92259, 1.67873, 2.48645, 2.31411, 2.60604, 2.81675, 2.85706, 3.21402
0.1, 0.0319375, 3.55493, 3.76736, 2.44588, 3.50558, 3.96311, 3.25543, 3.00645, 2.88831, 3.57146, 2.88226, 2.64888, 2.89513, 3.47039, 3.3303, 2.88296, 3.20646, 3.373, 2.94321, 2.97881, 3.05752, 3.22555, 3.3158, 3.41221, 3.31277, 3.53385, 3.51969, 3.68958, 3.92492, 4.21593, 4.40628
0.12, 0.0319375, 1.72121, 2.14869, 1.35032, 1.47313, 2.31623, 2.26226, 1.89696, 2.08298, 2.06238, 2.49551, 2.35922, 2.86559, 2.74265, 3.13033, 2.55927, 2.21146, 2.33535, 2.18473, 2.73411, 2.93663, 2.42043, 2.12698, 2.63004, 2.69931, 2.83131, 3.16468, 3.15769, 3.05245, 3.49936, 3.40161
0.14, 0.0319375, 2.51647, 2.92381, 2.5762, 2.75293, 3.18947, 3.41004, 3.08137, 3.56311, 3.34195, 3.26189, 3.19131, 3.20814, 2.95291, 3.18776, 2.92801, 2.87624, 2.85739, 3.22127, 3.32408, 3.19425, 2.91246, 2.80452, 2.87685, 2.89533, 2.55322, 2.65168, 2.97649, 2.93221, 2.68844, 2.85178
0.16, 0.0319375, 2.29051, 2.09138, 1.92078, 2.38852, 3.16952, 3.19747, 2.9558, 3.19203, 2.58129, 2.02832, 2.1573, 2.68117, 3.21899, 3.29245, 3.43491, 2.903, 2.79934, 2.81336, 2.66805, 2.68342, 2.73295, 2.57706, 2.16332, 2.45734, 2.54698, 2.38125, 2.13093, 2.17779, 2.69465, 3.15403
0.18, 0.0319375, -0.721428, 0.0613516, -0.671425, -0.670756, -0.0580631, 0.999122, 1.04297, 1.39198, 1.43331, 1.58825, 0.686644, 0.517654, 1.05076, 1.47514, 1.26564, 0.981514, 1.27776, 1.045, 1.0639, 1.22062, 1.65601, 1.38629, 1.43456, 1.61241, 1.30313, 1.16239, 1.37236, 1.38416, 1.48628, 1.23959
