# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -6.32805, -5.6925, -5.88569, -6.3472, -6.15537, -6.3355, -6.60444, -6.33722, -5.61108, -5.98494, -5.96578, -6.17616, -5.90623, -6.23965, -5.97601, -6.22448, -6.2069, -5.62145, -5.58773, -5.8841, -5.8227, -5.7869, -5.65483, -5.31324, -5.37946, -5.32253, -5.08015, -5.11164, -5.31807, -5.36533
0.02, 0.0319375, 4.09226, 4.02435, 3.21029, 3.07049, 3.49869, 3.46696, 2.57396, 2.48125, 1.90244, 2.50775, 2.6346, 3.17121, 3.3508, 2.95062, 2.51496, 2.81897, 1.90937, 2.15627, 2.94225, 3.05048, 3.42387, 3.57541, 3.59603, 3.09478, 3.58508, 3.61023, 3.56798, 3.40527, 3.20498, 3.66228
0.04, 0.0319375, 3.75464, 3.40825, 2.06728, 2.67241, 3.5261, 3.88242, 2.50781, 2.84053, 2.62659, 2.55389, 2.525, 2.86846, 2.85347, 2.70511, 2.39167, 2.64577, 2.56692, 2.87167, 2.776, 2.93887, 3.23038, 3.44344, 3.28355, 3.33166, 3.36602, 3.65266, 3.80406, 3.7569, 3.41096, 3.60477
0.06, 0.0319375, 2.99924, 2.59794, 2.16054, 2.08635, 2.44405, 2.59722, 2.34509, 2.54014, 1.91167, 1.95577, 2.23475, 2.6457, 2.6582, 2.8438, 2.66414, 2.25572, 2.52633, 2.67906, 2.37097, 2.44884, 2.97919, 2.57859, 2.71965, 2.74133, 2.6848, 2.85059, 2.86845, 2.94154, 3.28944, 3.38686
0.08, 0.0319375, 2.03443, 2.87566, 2.3218, 2.16797, 1.79331, 2.24543, 1.73602, 1.48903, 1.13176, 1.65346, 2.43981, 2.44083, 2.48757, 1.83073, 2.31438, 2.29991, 2.44247, 2.5442, 2.28548, 2.13409, 2.50426, 2.66665, 2.71065, 2.68669, 2.73382, 3.07079, 3.20184, 3.10634, 3.10025, 3.30287
0.1, 0.0319375, 2.86934, 2.61008, 1.86338, 2.13628, 2.19937, 2.11313, 1.23132, 1.86662, 1.85577, 1.64959, 1.95683, 1.6589, 1.35518, 2.08211, 2.43174, 1.6659, 2.08836, 2.10113, 2.07742, 2.3715, 2.67539, 2.75198, 3.02973, 3.28035, 3.16043, 2.86741, 2.93284, 3.15369, 2.87154, 3.09052
0.12, 0.0319375, 2.67447, 1.86317, 1.31518, 0.710974, 1.36231, 1.75464, 1.23638, 1.54799, 1.15859, 0.566618, 1.06685, 1.45894, 1.68308, 1.83721, 2.21295, 2.74796, 1.69799, 1.53459, 1.72805, 2.08807, 2.38876, 2.12694, 2.13222, 2.39688, 2.76462, 3.00515, 2.95068, 2.81891, 2.40889, 2.78693
0.14, 0.0319375, 2.68991, 1.98959, 1.39952, 1.11073, 1.55559, 1.3236, 1.77853, 1.87717, 1.84128, 2.14412, 2.11541, 1.97257, 2.04719, 2.14189, 1.70975, 2.54951, 2.69369, 2.61387, 2.61502, 2.59393, 2.95493, 2.95092, 2.5889, 3.09823, 3.16311, 2.91691, 3.12483, 2.96763, 2.79638, 2.62765
0.16, 0.0319375, 2.06809, 2.58369, 2.63873, 2.93482, 2.30614, 1.73246, 1.78502, 2.2418, 2.1119, 2.23309, 2.78896, 2.58546, 2.07059, 2.45823, 2.73248, 2.6601, 2.75053, 2.96683, 2.78584, 3.04014, 2.81754, 2.65327, 2.62681, 2.3241, 2.99418, 3.11258, 3.19019, 3.03765, 2.8129, 2.88636
0.18, 0.0319375, 1.44025, 2.72011, 1.96854, 2.11806, 1.64673, 1.51824, 1.78397, 1.0066, 0.944258, 1.81568, 1.58092, 2.00442, 2.32775, 2.28372, 2.49997, 2.15251, 2.2881, 2.69438, 2.51022, 2.11574, 2.13135, 2.77734, 2.59946, 2.76538, 2.85939, 2.66126, 2.89344, 2.84345, 3.08091, 2.88886
0.2, 0.0319375, 1.93095, 1.943, 2.14695, 1.06967, 0.808941, 1.32457, 0.536956, 1.04245, 1.22063, 0.799919, 0.671116, 1.31093, 1.91829, 1.52509, 1.27708, 2.18909, 2.15768, 2.1279, 2.19517, 1.99894, 2.3428, 2.6834, 2.71346, 2.66049, 3.05611, 2.963, 2.95448, 2.29395, 2.18768, 2.66805
0.22, 0.0319375, 1.42303, 1.24651, 1.54589, 0.635825, 0.940994, 1.30188, 0.975232, 1.22437, 1.1098, 0.989304, 0.548302, 1.25758, 1.31682, 1.4959, 1.48776, 1.72953, 1.93057, 1.99926, 1.87991, 1.92297, 1.84076, 2.09528, 1.93626, 2.17638, 2.78074, 2.90067, 2.55125, 2.94329, 2.73079, 2.41868
0.24, 0.0319375, 1.24323, 1.4355, 1.35376, 0.537647, 1.64366, 0.951298, 0.914786, 1.266, 0.732714, 0.432689, 0.749011, 1.00145, 1.55876, 1.35744, 1.87598, 1.79496, 2.2721, 2.37122, 1.9203, 2.19256, 2.20714, 2.21451, 2.47761, 2.34615, 2.80824, 2.71584, 2.88429, 3.15675, 2.95319, 2.82443
0.26, 0.0319375, 1.81314, 2.17736, 1.60007, 0.772746, 0.578043, 0.284007, 0.521781, 0.952976, 0.840736, 1.01474, 1.19391, 0.688556, 0.565913, 1.5453, 2.00455, 1.34827, 1.9334, 1.97944, 1.78904, 1.76414, 1.95185, 2.38393, 2.07963, 2.23336, 2.09786, 2.12914, 2.68758, 2.87506, 2.69996, 2.51869
0.28, 0.0319375, 1.76579, 1.72919, 1.12518, 0.494601, 0.792057, 0.762886, 0.842027, 1.37285, 1.41014, 0.828893, 0.935798, 1.37592, 1.35798, 1.84327, 1.82726, 1.50806, 1.63444, 1.88384, 1.86228, 1.71828, 1.92379, 1.80798, 1.96171, 1.99975, 2.29227, 2.18317, 2.93758, 2.97883, 2.92246, 2.84915
0.3, 0.0319375, 1.04198, 1.04216, 0.663349, 1.11088, 1.08128, 1.21003, 0.688535, 0.763454, 0.637018, 0.962113, 0.893859, 1.12931, 1.53279, 1.52969, 1.68946, 1.86084, 1.7499, 1.90571, 1.83766, 2.12493, 2.09445, 2.45115, 2.58486, 2.81342, 2.91576, 2.45238, 2.50881, 2.86793, 2.82467, 2.3459
0.32, 0.0319375, 0.304491, 0.661551, 0.744639, 0.660395, 1.06572, 1.36639, 0.891382, 1.34046, 1.1271, 1.28732, 1.15384, 1.1859, 1.80809, 1.52529, 1.39875, 1.51241, 2.01184, 2.49883, 2.12404, 1.94837, 2.11386, 2.08759, 1.9457, 2.13483, 3.0024, 3.24694, 2.75081, 2.83548, 2.44868, 3.15871
0.34, 0.0319375, 0.128254, 0.410568, 0.13218, 0.550305, 1.03485, 1.05039, 1.3676, 0.803157, 0.138604, 0.0954202, 0.972573, 1.37948, 1.39149, 0.937506, 1.89235, 1.67998, 1.67057, 1.84384, 1.64558, 1.87943, 2.16625, 1.86734, 1.71579, 2.02405, 2.55772, 2.40473, 2.66095, 2.50737, 2.4987, 2.60133
0.36, 0.0319375, -0.157392, 0.315328, 0.38664, 0.840332, 0.732705, 1.04463, 0.565902, 1.02863, 0.0752162, 0.521775, 1.11265, 0.929248, 1.36491, 1.76843, 1.13084, 1.41529, 1.09026, 1.68697, 1.48679, 1.83394, 1.82724, 1.68745, 2.03789, 1.88544, 2.19854, 2.30701, 2.06076, 1.99183, 1.96318, 2.22131
0.38, 0.0319375, 0.302198, 0.833582, 0.491455, 0.761184, 1.01262, 0.212615, 0.393343, 0.417045, 0.351406, -0.442659, 0.432036, 0.199052, 0.851916, 1.1534, 0.992908, 0.530488, 1.12157, 1.45376, 1.66575, 1.53735, 1.80204, 1.67751, 1.48399, 1.15248, 1.90455, 2.0884, 2.16623, 2.0822, 2.10966, 2.55981
0.4, 0.0319375, -0.0458521, 1.04778, 1.02248, 1.17067, 1.04189, 0.638831, 0.237674, 0.627594, 0.423332, 0.68316, 0.983142, 0.766849, 0.918474, 0.999325, 1.4795, 1.44195, 1.0653, 0.689966, 1.33995, 1.77677, 1.99704, 1.48015, 1.88708, 1.85625, 2.27397, 2.61403, 2.37644, 2.00994, 2.2012, 2.42768
0.42, 0.0319375, 0.506028, 0.615664, 0.475574, 1.30557, 0.896371, 0.871593, -0.0917516, 0.74504, 0.835483, 0.531524, 0.577419, 0.703286, 1.27295, 1.44682, 1.20032, 1.13228, 1.70614, 1.53225, 1.21339, 1.8958, 2.44207, 1.63188, 1.66407, 1.94853, 2.28227, 2.3787, 2.41715, 2.66218, 2.21405, 2.08311
0.44, 0.0319375, 0.619579, 0.167365, 0.541799, 0.483442, 1.05649, -0.0938657, 0.179876, 0.481778, 0.405136, 0.543347, 0.325945, 1.06215, 1.2542, 1.60417, 1.43391, 1.07425, 1.78062, 1.17896, 1.08421, 1.79781, 1.97034, 1.31902, 2.09214, 1.67889, 1.81991, 1.58959, 1.78558, 1.78268, 2.46288, 2.60338
0.46, 0.0319375, 0.0915863, 0.861385, 0.378864, 0.826952, 0.528885, 1.12549, 1.07248, 0.435507, 0.0623905, 0.552287, 0.985223, 1.67688, 1.409, 0.913671, 1.36194, 1.19476, 1.33893, 1.95569, 1.48884, 1.7276, 2.39181, 1.81863, 2.20023, 2.50047, 2.50688, 2.63856, 2.44685, 2.46254, 2.42133, 2.87852
0.48, 0.0319375, 0.749961, 1.19639, 1.02983, 1.48003, 1.29216, 0.779611, 0.616042, 0.81392, 0.66614, 0.202932, 1.24401, 1.19498, 1.14493, 1.46741, 0.220995, 0.974543, 1.32295, 0.943972, 1.40233, 2.05438, 2.67767, 1.76998, 1.89197, 1.79801, 1.76463, 2.02999, 2.0173, 1.97121, 1.61723, 2.37312
0.5, 0.0319375, -0.0367959, 0.46609, 1.07376, 0.762245, 0.683765, 0.0606343, 0.418048, 1.0164, 0.841125, 0.113671, 0.669898, 0.808553, 1.04232, 0.864585, 1.08662, 0.956907, 1.44183, 1.18025, 1.3485, 1.92446, 2.32383, 1.69853, 2.09658, 1.54147, 1.79672, 2.6125, 2.46345, 1.77246, 1.94327, 2.44236
0.52, 0.0319375, -0.386668, 0.109411, 0.695033, 0.798457, 0.724562, -0.177411, -0.0601748, 0.51632, 0.0413494, 0.316624, 0.19699, 0.508841, 0.649687, 0.467045, 0.47354, 1.07127, 0.805172, 0.998551, 0.807296, 1.75517, 1.88026, 1.21642, 1.68371, 1.42108, 1.79674, 1.98929, 1.67898, 1.72761, 1.5951, 1.83138
0.54, 0.0319375, -0.442711, -0.0160664, 0.266923, -0.17209, 0.171489, 0.109204, 0.63127, -0.0830317, 0.268983, 0.19191, 0.209425, 0.0992254, 0.49882, 0.716233, 0.981607, 0.755814, 0.96639, 0.926642, 1.12913, 1.28577, 1.73015, 0.989295, 1.16094, 1.36566, 1.50459, 1.86236, 1.96788, 1.97443, 1.7185, 2.18911
0.56, 0.0319375, -0.580778, -0.335271, 0.642371, -0.0803148, -0.221804, 0.304145, 0.255345, -0.270741, 0.685492, 0.363678, 0.521229, 0.236441, 0.651908, 0.387426, 0.829158, 0.985106, 0.906327, 1.26787, 0.934666, 1.08555, 1.4263, 1.48165, 1.28923, 1.16592, 1.57465, 1.63775, 2.0837, 1.78295, 1.765, 1.97561
