# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -0.96808, -0.900929, -0.379832, 0.494512, 0.436733, -0.0759222, 0.271221, 0.873571, 0.597833, -0.198847, 0.75194, 0.25653, 0.659913, 0.861147, 0.444314, 0.0269947, -0.185172, -0.59076, -0.499285, -0.850643, -1.28198, -0.018544, 0.580183, -0.257518, -0.465737, -0.452782, -0.999429, -1.09099, -1.30342, -1.19783
0.02, 0.0319375, -0.455494, -0.433103, -0.64197, -0.299084, 0.477818, 0.401654, 0.820771, 1.41351, 0.277551, 0.334637, 1.00615, 1.2424, 0.310332, 0.739196, 0.281952, -0.0625954, -0.322181, -1.03169, -0.97103, -0.439858, -1.07693, -0.393772, -0.0879726, -0.756516, -0.735292, -0.434102, -0.982323, -1.7017, -1.643, -1.29858
0.04, 0.0319375, -1.04197, -1.84685, -0.378206, 0.00169908, 0.180444, 0.454915, 0.994946, 0.397467, -0.179044, -0.862007, 0.45693, 0.30347, 0.52263, 0.6686, -0.215949, -0.0448725, -0.108326, -1.39812, -0.850161, -0.739301, -0.909068, -0.156639, 0.43934, -0.760153, -0.775398, -0.487826, -0.79097, -1.53021, -1.64513, -1.35272
0.06, 0.0319375, -0.585187, -0.555095, -0.088095, 0.278195, 0.412895, 1.1835, 1.04165, 0.695857, -0.147322, -0.593544, 0.48428, 0.573723, 0.788386, 0.956647, -0.113072, -0.0678485, -0.427024, -1.0413, -0.711141, -1.07828, -1.31212, -0.578178, 0.315798, -0.510982, -0.973842, -0.966393, -1.35967, -1.6587, -1.82885, -1.81619
0.08, 0.0319375, -0.0435104, -0.759707, -0.564288, 0.0574868, 1.23363, 0.905042, 1.1735, 1.01061, 0.118713, -0.502428, -0.00250641, 0.773162, 0.269361, 0.0128383, -0.0366224, -0.369734, -0.780134, -0.95764, -0.851815, -1.11809, -1.35084, -0.628103, -0.0101483, -0.97375, -1.09704, -0.62017, -1.20083, -1.44458, -1.62934, -1.52367
0.1, 0.0319375, -1.49303, -1.15752, -0.999386, -0.687425, 0.242405, 1.23929, 1.03789, 0.6575, 0.380088, -0.404422, 0.201262, 0.67894, 0.251938, 0.577471, -0.0870638, -0.131713, -0.961424, -1.70346, -1.33335, -1.24574, -1.82802, -0.699393, -0.0651377, -1.29118, -0.840061, -0.765564, -1.1193, -1.71924, -2.06042, -1.80147
0.12, 0.0319375, -1.30109, -2.25004, -0.804164, -0.078887, 0.55622, 0.697651, 0.0173557, 0.235802, -0.0225135, -0.565787, 0.384995, 0.378921, 0.283418, 0.464292, -0.595937, -0.888575, -1.08868, -1.20146, -1.07463, -1.37139, -1.48652, -1.15206, -0.23799, -0.970405, -1.13549, -1.03144, -1.36896, -1.73943, -2.09273, -1.79615
0.14, 0.0319375, -0.910972, -1.31884, -0.575566, -0.560016, 0.12119, 0.378041, 0.217817, 0.755756, -0.12304, -0.600016, -0.101947, 0.439364, 0.461335, 0.548916, 0.104005, -0.210112, -1.07642, -1.87109, -1.53659, -1.94359, -1.62673, -0.60138, -0.479062, -1.17083, -1.41637, -1.21211, -1.65207, -2.08069, -2.19622, -1.77074
0.16, 0.0319375, -0.945507, -1.13225, -0.943653, -1.88948, -0.0329331, 0.305317, 0.275228, 0.361032, -0.269771, -0.561759, -0.0755507, -0.15116, 0.0729133, -0.11279, -0.207083, -0.562916, -1.28031, -1.70972, -1.35748, -1.32117, -1.6501, -0.855163, -0.395334, -1.48136, -1.4001, -1.33146, -1.70328, -1.60381, -2.00801, -1.94692
0.18, 0.0319375, -0.672371, -1.08607, -1.12771, -0.883553, -0.103669, 0.186954, 0.385163, 0.126741, -1.03499, -0.421837, 0.00483427, -0.411381, 0.0691439, 0.85217, -0.230791, -0.751488, -1.79541, -2.30454, -1.52452, -1.38758, -2.02166, -1.51123, -1.09947, -1.27363, -1.4854, -1.54043, -1.89616, -2.18742, -2.24949, -1.87299
0.2, 0.0319375, -1.46246, -1.26148, -1.01309, -1.09163, 0.0241107, -0.162101, -0.368832, -0.425514, -0.922418, -1.31151, -0.116487, -0.615156, -0.497713, -0.161874, -0.625268, -0.949711, -1.15011, -1.83261, -1.12802, -1.42277, -1.96872, -1.16907, -0.470128, -1.14719, -1.34544, -1.40031, -1.69479, -2.0656, -2.07309, -2.21178
0.22, 0.0319375, -1.30705, -1.07093, -0.838222, -0.754567, -0.274483, -0.273689, 0.169953, 0.0421956, -0.058682, -1.09615, -0.682045, -0.613541, -0.0588327, -0.0133736, -0.380338, -0.472371, -0.930593, -1.53871, -1.82805, -1.69286, -1.59496, -1.18831, -0.572563, -1.43405, -1.62745, -1.61433, -1.89594, -2.21826, -2.2725, -2.29674
0.24, 0.0319375, -0.731808, -1.29081, -2.01379, -1.55143, -0.372349, -0.265158, -0.111733, 0.0705464, -0.278366, -1.01496, -1.21056, -0.803483, -0.175582, -0.480272, -0.488771, -1.2292, -1.44803, -2.00131, -1.9555, -1.62754, -2.12631, -1.37078, -0.756213, -1.83373, -1.53595, -1.56209, -2.14606, -2.53174, -2.80603, -2.43196
0.26, 0.0319375, -1.52322, -1.82782, -2.23762, -1.24225, -0.298134, -0.0534265, 0.103063, -0.161543, -0.883532, -1.15935, -0.431487, -0.297421, -0.473188, -0.029536, -0.717424, -0.965861, -1.23592, -1.90736, -1.77866, -1.65985, -1.91618, -1.24756, -0.837126, -1.79231, -1.94144, -1.55335, -2.33676, -2.44344, -2.38424, -2.39821
0.28, 0.0319375, -2.32147, -2.27221, -1.11327, -0.883905, -0.518576, -0.329136, -0.470562, -0.363633, -0.416451, -0.534762, -0.913995, -0.81795, -0.526565, -0.550261, -0.813587, -1.03738, -1.55065, -2.12077, -1.69087, -2.09019, -2.18263, -1.47435, -0.955086, -1.7635, -1.55479, -1.61237, -2.25917, -2.15687, -2.21625, -2.25238
