# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -1.78293, -1.98859, -1.55823, -1.6295, -1.99076, -0.976389, -0.8576, -0.438892, 0.0493723, 0.23458, 0.36639, 0.340283, 0.0927472, -0.044629, -0.25996, -1.08317, -1.2101, -1.19292, -1.41416, -0.81346, -0.664719, -1.05653, -0.826462, -1.01422, -0.641667, -0.585111, -0.874681, -0.560546, -0.732052, -0.848503
0.02, 0.0319375, -1.77425, -1.91425, -1.37165, -1.23631, -2.40357, -2.02701, -1.36196, -1.47691, -1.27542, -0.888511, -0.910254, -0.85229, -0.631876, -0.391177, -0.0309555, 0.218344, -0.148389, -0.316224, -0.051172, 0.100704, 0.351217, 0.373394, 0.269491, 0.312801, 0.300411, 0.0922199, -0.397657, -0.462855, -0.633401, -0.776944
0.04, 0.0319375, -1.67454, -2.33564, -2.90562, -2.15111, -2.02011, -1.75932, -1.70064, -1.32605, -1.32335, -1.49188, -1.97745, -1.51239, -1.11096, -0.891687, -1.32852, -1.09572, -0.916673, -1.19931, -1.19718, -0.804938, -0.554856, -0.608856, -0.676592, -1.06904, -1.1939, -0.838764, -0.935819, -0.725873, -0.572637, -0.70819
0.06, 0.0319375, -2.04127, -1.55809, -0.835931, -0.908385, -1.05123, -1.33073, -0.986153, -0.902578, -1.28648, -1.48273, -1.48885, -1.36073, -1.90962, -1.52871, -1.93357, -2.26879, -2.19519, -1.87889, -2.13494, -2.15238, -2.10072, -2.03035, -1.89306, -1.97539, -1.88099, -1.94186, -1.82144, -1.99205, -2.11216, -2.09701
0.08, 0.0319375, -1.98389, -1.8227, -1.54191, -1.6363, -2.50039, -2.99834, -2.72162, -1.84636, -2.70307, -2.55543, -2.64805, -2.17207, -2.14414, -1.75387, -2.05304, -2.01626, -2.00622, -2.48665, -2.13258, -2.05594, -2.13421, -2.7595, -2.07425, -2.1408, -1.91881, -2.21822, -2.03614, -2.02028, -2.50593, -1.99423
0.1, 0.0319375, -1.73268, -1.43904, -1.09328, -1.37564, -1.87689, -2.35538, -2.68396, -2.2123, -2.1708, -2.13528, -2.37086, -2.38016, -2.1251, -1.71634, -2.27653, -2.43169, -1.98445, -1.97975, -2.03477, -2.18977, -2.46741, -2.28239, -2.40409, -2.54046, -2.22522, -2.60324, -2.62849, -2.46541, -2.0647, -1.83173
0.12, 0.0319375, -1.93507, -2.35432, -2.69139, -2.452, -2.85253, -2.84188, -2.4831, -2.70872, -2.55665, -2.65878, -2.67588, -2.31285, -2.5551, -2.22878, -2.39037, -2.19344, -2.208, -2.54619, -2.81488, -2.98928, -2.8183, -2.90109, -2.62475, -2.89676, -2.68301, -2.67703, -2.84759, -2.85566, -3.02656, -2.80533
0.14, 0.0319375, -2.17969, -1.95875, -2.07848, -1.33568, -1.28306, -2.04984, -2.24891, -2.04682, -2.34675, -2.69644, -3.49594, -3.3586, -2.51817, -2.53136, -2.91781, -3.01923, -2.37084, -2.26879, -2.54482, -3.09035, -3.1213, -2.50409, -2.17342, -2.33839, -2.3057, -2.39567, -2.22442, -1.97079, -2.1844, -2.00608
0.16, 0.0319375, -2.36543, -2.59218, -2.27093, -2.41818, -2.58738, -2.84773, -2.46989, -2.67257, -2.31311, -2.44304, -2.05074, -3.19182, -2.7731, -2.67684, -2.91256, -2.71357, -2.12321, -1.94422, -1.87504, -1.85258, -2.41616, -2.34207, -2.51599, -2.27387, -2.44907, -3.00023, -2.4371, -2.05369, -1.947, -2.24769
0.18, 0.0319375, -2.27765, -2.31284, -2.26431, -2.30045, -2.81036, -2.88947, -3.19667, -2.18217, -2.87138, -3.50115, -3.0045, -2.36979, -2.80928, -3.23011, -2.93398, -2.94199, -2.22906, -2.35866, -2.4259, -2.49051, -2.42805, -2.36843, -2.38125, -2.47393, -2.67387, -2.5975, -2.3781, -2.54005, -2.89939, -2.68002
0.2, 0.0319375, -2.88163, -2.27763, -2.47577, -2.19931, -2.53701, -2.65643, -2.40877, -2.0556, -2.33072, -2.19576, -2.30537, -2.22917, -2.3374, -1.93465, -2.03346, -1.39573, -1.87546, -2.25828, -2.38757, -1.60273, -1.07591, -1.05735, -1.44337, -1.36859, -1.27045, -1.83795, -1.5006, -1.70635, -1.85993, -1.40383
0.22, 0.0319375, -1.86848, -2.33614, -2.49837, -1.95096, -2.76555, -2.29174, -1.7948, -1.94963, -2.06121, -2.70521, -2.69235, -2.75432, -2.23501, -2.7591, -2.67273, -2.49678, -2.8888, -3.0838, -3.10142, -2.81893, -2.81225, -2.57293, -2.76295, -2.97768, -2.57663, -2.69093, -2.9508, -2.86041, -2.94898, -2.91316
0.24, 0.0319375, -2.18133, -2.41917, -2.61753, -1.47693, -1.38192, -2.49734, -1.84217, -1.37441, -1.76095, -1.98597, -2.29945, -1.83243, -2.21218, -2.55636, -2.24782, -3.12411, -2.83139, -2.67132, -2.58684, -2.64895, -2.61993, -2.84719, -3.10089, -2.72623, -2.85064, -3.25799, -3.20912, -3.31046, -3.35288, -3.28438
0.26, 0.0319375, -1.77812, -2.38658, -2.55153, -2.28083, -2.95648, -2.83222, -3.643, -2.96883, -2.83638, -2.73982, -3.45186, -3.46422, -3.57135, -3.64792, -3.58124, -3.51694, -3.40138, -3.20952, -2.81001, -3.33143, -3.27219, -3.24736, -3.28256, -3.0785, -3.10198, -3.18973, -3.10711, -3.4024, -3.19405, -3.10028
0.28, 0.0319375, -3.16923, -2.63194, -2.60759, -2.47736, -3.53643, -4.5044, -3.42505, -3.04513, -3.21594, -3.45006, -3.54687, -3.37858, -3.8117, -3.87529, -3.5818, -4.07297, -3.74616, -3.78572, -3.40854, -3.77511, -3.24623, -3.21011, -2.92938, -2.84134, -2.97572, -3.37535, -3.08477, -3.00881, -2.94352, -3.1239
0.3, 0.0319375, -2.5553, -2.52149, -2.99693, -3.35939, -3.12236, -3.23804, -3.54154, -3.08356, -3.47536, -4.00761, -3.65727, -3.44099, -3.84007, -3.66542, -4.28644, -3.57059, -3.7183, -3.70368, -3.43563, -3.19385, -3.12443, -3.23194, -3.10103, -2.84277, -2.98912, -3.41973, -3.30731, -3.15795, -3.26484, -3.48426
0.32, 0.0319375, -3.16041, -3.23735, -3.48175, -3.12886, -3.31681, -4.03977, -3.38943, -2.91772, -3.03734, -3.21735, -3.58185, -4.17239, -3.60164, -3.16746, -2.63288, -2.85648, -2.9127, -2.5011, -2.37179, -1.93827, -2.90432, -3.14602, -2.53305, -2.61713, -2.48641, -2.10042, -1.83817, -2.33941, -2.78178, -2.24525
0.34, 0.0319375, -2.98739, -3.17335, -2.4455, -3.14859, -3.35103, -3.67681, -2.89088, -2.94148, -3.18853, -3.58063, -4.08195, -3.94518, -4.20034, -3.5208, -3.84481, -3.51105, -3.80085, -3.51603, -3.13969, -3.21183, -3.26684, -2.89809, -2.71275, -3.41196, -3.0421, -2.74334, -2.81852, -2.85006, -3.15739, -3.13326
0.36, 0.0319375, -2.98185, -2.81254, -2.0974, -2.36532, -2.81176, -3.42641, -3.27647, -3.73388, -3.93552, -4.34182, -4.19854, -3.86142, -3.70489, -3.74377, -4.10175, -3.55088, -3.32509, -2.91767, -3.2283, -3.1141, -3.30819, -3.08036, -2.96164, -3.04112, -3.00138, -2.76923, -2.97848, -2.97512, -2.93211, -2.72105
0.38, 0.0319375, -3.79024, -2.48413, -2.46392, -2.62559, -2.09016, -2.61489, -2.9276, -4.14603, -3.59792, -4.18025, -3.68622, -3.68881, -3.8037, -3.92669, -3.65423, -3.64819, -4.04007, -3.69708, -3.76142, -3.04724, -2.85736, -3.20494, -3.09459, -3.103, -2.94477, -2.97053, -2.72923, -2.90195, -3.15093, -2.95415
0.4, 0.0319375, -3.54347, -3.22124, -3.50439, -3.36527, -3.3007, -3.80862, -3.99095, -4.11271, -4.10601, -4.03016, -4.26123, -4.37109, -3.90931, -3.87972, -4.3268, -3.94171, -3.64035, -4.01638, -3.51737, -3.14899, -3.17345, -2.95301, -2.84783, -2.73779, -2.95816, -3.14711, -2.91192, -3.34804, -3.12788, -3.02603
0.42, 0.0319375, -3.14216, -3.28657, -3.30558, -2.92308, -2.7853, -3.77254, -4.03821, -3.91451, -3.54449, -3.78143, -4.1841, -4.15299, -4.14851, -4.15996, -4.36477, -3.65961, -4.26151, -3.62223, -4.10534, -3.25248, -2.95276, -2.7312, -2.82101, -2.95556, -2.91817, -2.6708, -2.30565, -2.71238, -3.09757, -3.00757
0.44, 0.0319375, -3.07669, -3.40627, -3.04082, -3.65073, -3.25952, -4.10807, -3.22268, -3.44097, -4.0129, -3.98801, -4.01882, -3.87028, -4.24504, -3.89221, -4.0711, -3.4698, -4.05864, -3.67879, -3.64693, -3.44516, -2.6964, -2.35034, -2.71767, -2.92246, -3.04037, -3.07042, -3.206, -3.0744, -2.75904, -2.94158
0.46, 0.0319375, -3.52234, -2.90397, -3.32722, -3.21666, -3.70901, -3.37565, -3.95705, -3.86606, -4.20764, -4.27328, -4.31246, -4.02722, -3.15114, -2.68248, -2.96471, -2.63717, -2.10424, -2.25856, -1.41762, -0.983059, -0.727857, -0.586228, -0.382409, -0.104177, -0.155573, -0.855498, -0.991645, -0.855675, -1.32225, -0.988496
0.48, 0.0319375, -2.61036, -2.61213, -2.68838, -2.85707, -2.77274, -3.12393, -3.47254, -4.15439, -4.12806, -4.10698, -4.30053, -3.76365, -4.22689, -3.84506, -4.60853, -3.82748, -3.49756, -2.92509, -2.81383, -2.59761, -2.11205, -2.59555, -2.75131, -2.54635, -2.42744, -2.96094, -2.85954, -2.5849, -2.64424, -2.81418
0.5, 0.0319375, -1.46941, -1.45045, -1.28439, -1.49243, -1.75681, -2.99635, -3.16132, -3.68681, -3.69045, -4.07951, -4.18204, -4.06346, -3.93997, -4.18439, -3.90261, -3.35445, -3.28265, -2.96629, -2.54651, -2.61358, -2.25836, -2.3601, -2.48711, -2.50703, -2.44813, -2.47701, -2.51331, -2.79397, -2.62578, -2.30095
0.52, 0.0319375, -2.31578, -1.57707, -0.818043, -0.656924, -0.956161, -1.43995, -1.63075, -1.51132, -0.976869, -0.989198, -0.842848, -1.07266, -0.895647, -0.822607, -0.848141, -1.27863, -1.33188, -1.32337, -0.877535, -0.947667, -1.18844, -0.993406, -1.2635, -1.02986, -0.994244, -1.07673, -1.35205, -1.35464, -1.24567, -0.858997
0.54, 0.0319375, -0.577615, -0.682036, 0.100731, -0.0525996, -0.0947054, -0.378107, 0.0795522, 0.577154, 0.971993, 0.948989, 0.709893, 0.830374, 1.15983, 0.813866, 0.436736, 0.310106, 0.504928, 0.34633, 0.408526, 0.312294, 0.186422, -0.15566, -0.0513977, 0.257339, 0.235661, 0.794872, 0.565414, -0.147026, -0.452246, -0.0413126
0.56, 0.0319375, 0.432106, 0.0653923, -0.491166, 0.199999, 0.652876, 0.510705, 0.45785, 0.66024, 1.11044, 1.23082, 1.224, 1.3258, 1.57345, 1.63122, 0.925499, 0.546183, 0.616216, 0.997354, 1.36491, 1.33744, 1.19177, 0.943794, 1.10674, 0.749474, 0.611744, 0.656035, 0.390277, 0.547957, 0.572922, 0.10496
0.58, 0.0319375, 0.523837, 0.876953, 0.978045, 1.15068, 1.63432, 0.974478, 0.938224, 0.744166, 1.24393, 1.0562, 1.54501, 1.44476, 1.51596, 1.1815, 0.679277, 0.815582, 0.398489, 0.886502, 0.751949, 0.807881, 0.964885, 0.878652, 0.698295, 0.508993, 0.632551, 0.859177, 0.569354, 0.20279, 0.246244, 0.287812
0.6, 0.0319375, -0.411702, 0.818348, 1.50091, 1.42235, 1.56101, 1.68825, 1.6357, 1.86995, 1.35962, 1.93933, 1.98184, 2.38263, 2.0827, 1.52818, 1.21019, 0.674706, 0.468248, 0.345303, 0.260551, 0.58615, 0.787232, 0.701875, 0.476761, 0.63361, 0.536106, 0.906145, 0.578247, 0.527018, 0.664396, 0.606362
