# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -1.93409, -2.41334, -3.11, -2.66354, -3.28954, -3.92139, -4.29483, -4.77697, -5.01054, -4.34406, -4.55235, -4.43445, -3.8381, -3.98042, -4.14689, -4.34224, -4.24955, -3.30884, -3.5541, -3.63116, -3.5886, -3.5608, -2.96832, -3.15664, -3.04383, -2.90491, -2.31661, -2.04383, -1.88646, -1.91797
0.02, 0.0319375, -3.30931, -3.73256, -4.43643, -4.25621, -4.11453, -4.5468, -4.77858, -5.12095, -5.00985, -4.99788, -4.42878, -4.59599, -4.62677, -4.47346, -4.23382, -4.35455, -4.45843, -3.73958, -3.80499, -3.33214, -3.44199, -3.12603, -2.71111, -2.57331, -2.50761, -2.4721, -1.7811, -1.74403, -1.40417, -1.57522
0.04, 0.0319375, -2.37735, -1.64023, -2.44794, -2.49706, -2.95541, -3.43641, -3.86165, -4.31062, -4.25921, -4.34699, -4.05251, -4.23029, -3.92735, -3.75886, -3.63611, -3.36894, -3.18631, -2.81214, -2.95137, -2.75035, -3.31472, -2.76971, -2.13498, -2.29743, -2.29084, -2.54084, -1.75396, -1.68486, -1.77603, -1.91429
0.06, 0.0319375, -2.66432, -2.71816, -4.04169, -4.47649, -3.53985, -4.26692, -4.47214, -5.0328, -4.66706, -4.74726, -4.46649, -3.91756, -3.75107, -3.56432, -3.72991, -3.7868, -3.40727, -2.70252, -2.56958, -2.70367, -2.90638, -2.96294, -2.50887, -2.25991, -2.30196, -2.53077, -2.39843, -1.9353, -1.99608, -2.15145
0.08, 0.0319375, -2.89653, -3.07508, -3.96554, -3.84322, -3.7925, -4.40753, -4.35162, -4.62951, -4.66733, -4.03563, -3.93105, -3.55891, -3.56029, -3.251, -3.42221, -3.08988, -2.48922, -2.008, -1.935, -2.11047, -2.52512, -2.43295, -1.86129, -1.64572, -1.61273, -1.87353, -2.06698, -1.59601, -1.20384, -1.32365
0.1, 0.0319375, -3.53261, -3.56075, -4.80575, -4.94854, -5.03534, -5.19517, -4.80965, -5.71427, -5.71593, -5.19665, -4.55366, -4.79683, -4.00609, -4.05578, -3.87172, -4.3987, -4.01911, -3.6084, -3.86662, -3.7862, -3.59054, -3.67697, -3.0504, -2.75858, -2.73897, -2.8971, -2.39743, -2.07393, -2.15694, -1.79354
0.12, 0.0319375, -3.30426, -3.20166, -4.43017, -3.8801, -4.33798, -5.0672, -4.95181, -5.09303, -4.9423, -5.46294, -5.11482, -4.68658, -4.07249, -4.48376, -4.17494, -3.96253, -3.89161, -4.23913, -3.79131, -3.53867, -3.82086, -3.67279, -3.45319, -3.27703, -2.90423, -2.56159, -2.36294, -2.25756, -2.30821, -2.22555
0.14, 0.0319375, -3.75284, -3.37863, -4.45181, -4.51074, -4.93335, -4.50074, -5.38106, -6.36809, -5.37655, -4.91506, -4.58989, -4.12859, -4.49537, -4.67453, -4.26275, -4.47877, -4.41303, -3.79363, -3.67675, -3.26215, -3.61544, -3.63661, -3.22994, -2.51667, -2.68976, -2.8673, -2.77447, -2.34066, -2.10607, -1.91614
0.16, 0.0319375, -3.51243, -4.26871, -4.33683, -3.64447, -3.79606, -4.83766, -6.14231, -5.6048, -5.10769, -4.86629, -5.45913, -4.5794, -4.02097, -4.88245, -4.54948, -4.64911, -4.55754, -4.05, -3.92923, -3.69244, -3.86832, -3.89316, -3.43151, -2.823, -2.9291, -3.43364, -2.83112, -2.43368, -2.4575, -2.50921
0.18, 0.0319375, -2.99167, -2.81461, -4.1421, -4.4962, -4.04519, -4.37713, -4.75826, -4.49138, -4.59432, -4.68315, -4.28272, -3.82616, -3.36349, -3.61938, -3.31672, -3.30035, -3.29517, -3.73527, -3.18813, -2.64125, -2.5453, -2.79563, -2.86941, -2.27176, -2.08046, -1.83297, -0.997177, -0.919501, -1.4587, -0.878943
