# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -1.19732, -1.36257, -2.54889, -3.44228, -2.98723, -1.97521, -2.68042, -2.77153, -3.15244, -2.94569, -3.36237, -2.79879, -3.01496, -2.81816, -3.02506, -3.11267, -3.43639, -3.24025, -2.90878, -2.59259, -2.27637, -2.37864, -2.15508, -2.29427, -2.05478, -2.26483, -2.10549, -1.88818, -1.95922, -2.24457
0.02, 0.0319375, -1.24229, -1.24536, -1.19871, -1.1646, -0.759695, -1.0525, -1.27617, -1.3745, -1.33975, -1.7677, -1.5595, -1.35839, -1.65493, -1.81584, -2.54446, -1.86309, -1.57366, -1.41478, -1.20404, -0.763852, -0.355576, -0.31513, -0.366865, -0.304689, -0.0919204, -0.242767, -0.45183, -0.378645, -0.412623, -0.459237
0.04, 0.0319375, -1.53705, -1.16046, -1.31671, -1.72246, -1.34477, -1.65849, -2.59713, -2.3989, -2.52644, -2.95583, -3.02272, -2.88507, -3.16572, -3.43057, -3.36159, -3.02445, -2.91055, -2.97763, -2.75919, -2.2091, -1.5801, -1.99277, -1.72156, -2.13278, -1.81087, -1.4548, -1.45062, -1.65921, -1.89021, -1.60778
0.06, 0.0319375, -0.994352, -2.57328, -2.29878, -2.35941, -2.41485, -2.08673, -2.58871, -3.62154, -2.91859, -2.6675, -2.97699, -2.9702, -3.70782, -3.43269, -3.04858, -3.28263, -3.2766, -2.74619, -2.77974, -2.89048, -2.7652, -2.67504, -2.53768, -2.62281, -2.63294, -2.43072, -2.44899, -2.71886, -2.81769, -2.72449
0.08, 0.0319375, -1.19624, -1.76336, -1.86568, -2.27729, -2.87125, -1.97132, -2.56389, -3.1169, -3.37862, -2.99303, -2.99095, -3.07625, -3.41729, -3.67115, -3.70067, -3.14315, -3.17464, -2.74601, -3.16112, -3.00283, -3.1294, -3.25939, -2.37262, -2.74431, -2.51887, -2.73729, -2.77747, -2.52458, -2.31475, -2.10567
0.1, 0.0319375, -1.16316, -1.43923, -1.64795, -1.79498, -2.20935, -2.51705, -2.54136, -3.55637, -3.75345, -3.586, -3.01331, -3.08499, -2.91691, -3.15658, -3.01746, -2.66885, -2.14063, -2.6501, -3.10914, -2.67187, -2.18809, -2.44504, -2.156, -1.81206, -1.60407, -1.7629, -1.03254, -0.840451, -0.904551, -0.142677
0.12, 0.0319375, -2.09265, -2.07539, -1.76522, -2.27482, -2.51948, -2.43666, -2.90022, -3.30234, -2.88855, -3.37694, -3.08745, -2.5781, -2.67351, -3.1391, -2.41244, -2.40002, -2.70723, -2.12316, -2.47955, -1.723, -1.90002, -1.91144, -2.06301, -2.29065, -1.74181, -1.50821, -1.55269, -1.3435, -1.16531, -1.45496
0.14, 0.0319375, -0.344792, -1.26763, -1.37769, -1.68107, -1.71865, -1.71169, -1.35999, -1.44632, -1.53731, -2.07951, -2.04017, -2.30421, -1.83842, -1.45368, -1.90061, -1.46802, -1.39193, -0.983351, -0.820575, -0.833275, -0.352362, -0.317861, -0.297509, -0.247766, -0.228125, -0.255521, 0.182307, 0.0720585, 0.0426171, -0.186552
0.16, 0.0319375, -1.46876, -1.56161, -1.92856, -2.56486, -2.21874, -1.9252, -2.44325, -2.86629, -3.20401, -3.17205, -3.03893, -2.94045, -2.93749, -2.89287, -3.11573, -2.73938, -2.35826, -2.40116, -2.22279, -2.53198, -1.85124, -1.92522, -2.07637, -1.95893, -1.85027, -1.92156, -1.91529, -1.63761, -1.09894, -1.34473
0.18, 0.0319375, -0.460351, -0.417714, -0.526466, -1.24978, -1.36335, -1.42646, -1.69639, -2.25881, -2.17622, -2.28053, -1.9288, -2.31, -1.86235, -1.74446, -1.79296, -2.05875, -2.47519, -2.7509, -1.96061, -1.94822, -1.80134, -2.06189, -1.6434, -1.44908, -1.59587, -1.62007, -1.61243, -1.83955, -1.74756, -1.45729
