# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, 0.112889, 0.310962, 0.56606, -0.301108, -0.178871, -0.328564, 0.506531, 0.876619, 1.04981, 1.63237, 1.79143, 1.45988, 1.27281, 2.00123, 1.65511, 1.56603, 2.14722, 2.92204, 2.65382, 1.99754, 2.44815, 2.698, 2.28976, 2.4486, 2.62245, 2.89245, 2.81325, 2.99624, 2.69554, 2.56375
0.02, 0.0319375, 0.00645363, 0.344694, 0.0578311, -0.10957, 0.675605, 0.563627, 0.82696, 1.61013, 1.04665, 0.91541, 1.2481, 1.67659, 1.48239, 2.2096, 1.40034, 1.52852, 2.14962, 1.94818, 2.29929, 2.61658, 2.18516, 1.99801, 2.611, 2.5966, 3.16868, 3.31492, 3.32934, 3.21319, 3.18169, 3.16576
0.04, 0.0319375, -0.827178, 0.235786, 0.188063, -0.0491945, 0.182507, 0.23966, 0.164166, 0.774741, 1.28682, 1.25397, 1.14795, 1.51859, 1.43894, 1.6744, 1.96622, 1.95907, 2.04896, 1.86458, 1.8589, 1.65358, 1.93585, 2.5363, 2.36425, 2.62025, 2.9036, 2.86657, 2.72303, 3.12144, 2.98948, 2.981
0.06, 0.0319375, 0.393926, 0.212227, 0.60231, 0.635865, 0.744661, 1.04133, 1.04626, 1.18616, 0.629646, 1.76118, 1.6861, 1.49458, 1.49274, 1.12846, 1.20325, 1.55741, 2.2583, 2.65813, 2.1748, 2.01047, 2.05714, 2.02011, 2.62849, 2.25176, 2.38437, 2.84811, 2.88367, 2.88178, 2.85743, 2.93622
0.08, 0.0319375, 0.38645, -0.269817, 0.325943, -0.33628, 0.51302, 1.06198, 0.0838861, 1.2306, 1.55735, 1.74673, 1.48054, 1.67502, 2.0549, 1.98187, 1.78612, 2.08485, 2.02581, 1.99618, 2.4788, 2.47161, 2.24587, 2.43867, 2.25736, 2.48817, 2.98822, 3.10474, 3.49007, 3.52959, 3.16704, 3.46675
0.1, 0.0319375, -0.143473, -0.0807128, 0.449092, 0.268944, -0.157541, 0.320968, 0.0881397, 0.584293, 0.41553, 1.17115, 1.24377, 1.2124, 1.31519, 1.31659, 1.68074, 1.425, 1.51389, 2.0912, 1.75248, 1.81294, 1.81196, 2.23444, 2.0195, 2.31698, 2.42679, 2.22668, 2.70706, 2.4683, 2.62342, 2.91792
0.12, 0.0319375, -0.0246693, 0.197049, -0.808119, 0.424804, 0.734418, 0.453102, 0.590977, 0.98176, 0.961302, 1.28599, 0.644192, 0.732317, 1.28193, 1.37645, 1.35606, 1.73251, 1.33251, 1.69456, 2.11748, 1.98108, 2.37485, 1.82491, 2.19964, 1.97554, 2.05812, 2.40191, 2.57399, 3.00839, 3.21664, 3.04527
0.14, 0.0319375, 0.218701, 0.458445, 0.614923, 0.66218, 0.977318, 0.746554, 0.427761, 0.98691, 0.949936, 1.31264, 1.5096, 1.79832, 1.3266, 1.30949, 1.33985, 1.42496, 1.65564, 1.78038, 2.06502, 1.8691, 2.02819, 2.10877, 2.36332, 2.37997, 2.45224, 2.40294, 2.63222, 2.65465, 2.94886, 2.67803
0.16, 0.0319375, -0.192607, 0.199709, -0.176932, 0.709223, 0.732161, 0.175221, -0.244787, 0.467939, 0.817003, 0.764567, 0.480159, 1.60795, 1.92792, 1.4697, 1.02289, 1.56246, 1.20135, 1.79593, 1.62452, 1.90524, 2.05213, 1.84825, 1.95149, 2.0736, 2.10354, 2.37616, 2.59941, 2.55346, 2.51583, 2.67782
0.18, 0.0319375, 1.3593, 1.22939, 1.0582, 0.733351, 1.53518, 1.11277, 0.442475, 0.782435, 1.47673, 1.5444, 1.26699, 1.6704, 2.0006, 2.08425, 2.2641, 2.52694, 2.32511, 2.22998, 2.61113, 2.73706, 2.39564, 2.61536, 2.62618, 2.48949, 3.00626, 3.27095, 3.56615, 3.62923, 3.48516, 3.72045
