# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -4.24253, -4.80955, -5.99249, -5.84994, -6.44214, -5.8693, -6.01266, -5.45261, -4.47734, -5.83205, -4.67827, -4.78871, -4.17803, -4.33234, -5.14763, -5.13746, -5.38331, -5.74555, -4.9986, -4.21883, -3.97881, -4.01564, -3.79442, -3.9267, -3.64173, -4.02212, -4.16701, -3.82982, -3.43583, -3.50325
0.02, 0.0319375, -3.46294, -4.77899, -5.76844, -6.4499, -6.46452, -5.9532, -6.37966, -5.754, -5.57949, -5.40096, -4.40768, -5.00592, -4.6498, -4.46294, -4.59734, -5.25866, -5.10132, -5.87908, -5.15326, -4.70099, -4.18755, -4.1048, -4.31348, -4.09597, -4.32633, -4.18931, -4.28069, -4.03071, -3.62106, -3.87315
0.04, 0.0319375, -3.40305, -5.01471, -6.08745, -5.55665, -5.63207, -5.07225, -6.18865, -5.46611, -5.13825, -4.47851, -4.59777, -4.72408, -4.60325, -4.74162, -4.93677, -4.65658, -4.85897, -5.87481, -4.71182, -4.47604, -4.36381, -3.93783, -4.24724, -4.0632, -4.27741, -4.22796, -4.32578, -4.33474, -3.72302, -3.4247
0.06, 0.0319375, -3.34548, -4.27488, -5.97239, -5.45477, -5.6654, -5.64956, -5.6886, -4.47795, -4.25479, -4.53954, -4.9268, -4.93126, -4.55846, -4.64918, -4.73355, -4.3847, -4.73101, -4.92753, -4.35834, -4.34751, -4.3166, -4.42293, -4.31742, -4.02877, -3.85928, -4.21901, -4.21168, -4.36147, -3.88066, -3.53878
0.08, 0.0319375, -3.09081, -4.18016, -4.76017, -5.3673, -4.54995, -5.0667, -5.62674, -5.0225, -5.04599, -4.85547, -4.97519, -5.25367, -5.01406, -4.73865, -5.0101, -4.7794, -4.49387, -4.85379, -4.33998, -4.04106, -4.34652, -4.43155, -4.43013, -3.71283, -3.67959, -4.37662, -4.72326, -4.09431, -3.9887, -3.7333
0.1, 0.0319375, -3.60753, -4.47243, -4.35616, -5.12496, -4.12071, -5.18704, -5.48982, -4.9912, -4.54722, -4.59018, -4.95007, -5.2589, -4.68938, -4.60999, -4.56866, -4.98546, -4.82465, -4.4397, -4.43919, -4.42672, -4.2497, -3.92229, -4.4279, -3.98015, -3.77647, -4.36499, -3.70594, -4.20314, -3.92058, -3.57172
0.12, 0.0319375, -4.45206, -5.19502, -5.43928, -4.9299, -4.75252, -4.71153, -5.36093, -5.01807, -5.05182, -4.22584, -4.45157, -4.56389, -4.35385, -4.55304, -4.71112, -5.54756, -4.75287, -4.87288, -4.61266, -4.02583, -4.35484, -4.26038, -4.68457, -4.52521, -4.18251, -4.03779, -3.98087, -3.96813, -3.93325, -3.52924
0.14, 0.0319375, -3.69054, -3.96261, -4.42705, -4.72776, -4.27578, -4.59359, -5.0284, -5.14375, -5.27868, -4.27931, -4.1922, -4.33943, -3.9054, -4.81368, -5.72559, -4.56625, -4.15755, -4.37129, -3.98633, -3.95522, -4.24775, -4.05145, -3.99001, -4.45678, -4.0196, -3.80376, -3.89379, -3.93027, -3.53315, -3.58082
0.16, 0.0319375, -3.66393, -3.80267, -3.89994, -4.90444, -4.74365, -5.47941, -5.13704, -5.13649, -5.03442, -4.62339, -4.49757, -5.12849, -4.19243, -3.62924, -5.03157, -4.8291, -4.69236, -4.82606, -4.02514, -4.01974, -4.22589, -4.37007, -4.02085, -4.19535, -4.12643, -3.94673, -4.23147, -3.84453, -3.652, -3.55796
0.18, 0.0319375, -4.17227, -4.14859, -4.4704, -4.72749, -4.41074, -5.11158, -5.0009, -5.01236, -4.91382, -4.82313, -4.48782, -4.67978, -4.52579, -3.90987, -4.72286, -4.81422, -4.47808, -4.9781, -4.40554, -4.46466, -4.24666, -4.34375, -4.00075, -4.0376, -4.20128, -3.99325, -4.56296, -3.52666, -3.73358, -3.9638
0.2, 0.0319375, -4.04328, -3.15724, -4.47267, -5.28079, -4.83064, -4.94403, -4.69421, -5.68099, -5.49297, -5.11134, -4.80092, -4.61086, -4.53931, -4.19541, -4.44271, -4.7761, -4.41512, -4.59006, -4.06584, -4.5307, -4.45791, -4.38768, -4.67218, -4.1465, -3.9556, -4.24448, -4.04867, -3.66091, -3.8222, -3.7676
0.22, 0.0319375, -3.55929, -3.35774, -5.15301, -5.31692, -4.40866, -4.38699, -4.70525, -4.62057, -4.26105, -4.38888, -3.95994, -4.75956, -4.75602, -4.24019, -4.51736, -4.94877, -4.99571, -4.85806, -4.085, -4.16555, -4.01658, -4.0173, -4.60339, -4.41678, -4.02571, -3.77008, -3.985, -3.98032, -3.7227, -3.27944
0.24, 0.0319375, -3.61612, -3.79423, -5.15954, -5.19074, -3.96544, -4.61645, -5.10878, -5.22623, -4.98092, -4.9946, -4.22961, -4.59361, -4.80257, -4.17518, -4.5099, -4.51824, -4.19392, -5.00465, -3.84083, -3.69077, -3.87357, -3.9956, -4.49509, -4.35549, -4.50532, -3.78364, -3.84949, -3.68421, -3.58354, -3.62116
