# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, 0.630326, -0.252735, -0.647538, -0.493235, -1.05549, -1.17127, -1.95696, -1.24722, -0.686295, -1.09786, -1.3556, -1.24914, -1.12798, -2.08921, -2.13183, -2.2312, -2.26726, -2.32409, -2.40487, -3.53922, -3.28304, -3.35877, -3.02439, -3.01463, -3.4566, -3.15965, -3.43483, -3.25589, -3.34452, -3.14925
0.02, 0.0319375, 0.262162, -0.858163, -0.461787, -0.817268, -0.338423, -0.663296, -1.36868, -0.932213, -1.51206, -1.53574, -1.4489, -1.45391, -0.897499, -2.01929, -1.78482, -2.46419, -2.70287, -2.35783, -2.69977, -4.15673, -3.76849, -3.61622, -3.09933, -3.12939, -3.7976, -3.83495, -3.27474, -3.19605, -3.11123, -3.01858
0.04, 0.0319375, -0.0442509, -1.05379, 0.081437, 0.125593, -0.370353, -0.427073, -0.960495, -0.625372, -1.37737, -1.36799, -1.31859, -1.07405, -0.91599, -1.65376, -2.0193, -2.38994, -2.64745, -2.28118, -2.35129, -3.41522, -3.63504, -3.80182, -3.59133, -3.27431, -3.49978, -3.43592, -3.38832, -3.23289, -3.58831, -3.49134
0.06, 0.0319375, -0.54787, -0.0321784, 0.0473372, -1.03134, -0.372423, -0.381731, -0.950107, -1.0283, -1.15708, -0.768847, -1.27514, -1.96787, -1.32989, -1.64131, -1.88196, -2.30893, -2.66005, -3.0072, -2.89581, -3.42341, -3.65151, -3.90055, -3.49975, -3.29206, -3.38922, -3.03982, -3.16375, -3.10488, -2.84297, -2.76533
0.08, 0.0319375, 0.174505, -0.436544, -0.828815, -1.01549, -0.787571, -1.11375, -2.14029, -0.825377, -1.43331, -1.32509, -1.16171, -1.13716, -1.54281, -1.70095, -2.20635, -2.04803, -2.37946, -2.39887, -2.56637, -3.10214, -3.17184, -3.19393, -2.97272, -2.76124, -3.34104, -3.46478, -3.43137, -3.43081, -3.1374, -2.97488
0.1, 0.0319375, 0.974369, 0.650788, -0.308858, -0.696211, -0.502577, -0.847757, -0.913559, -1.07326, -0.87917, -1.71049, -1.88762, -1.3255, -1.47731, -2.04293, -2.03176, -2.44327, -2.09243, -2.13405, -2.71853, -2.91208, -3.53214, -3.4858, -2.93644, -3.20432, -3.18057, -3.02399, -3.1046, -3.19045, -3.15958, -2.83707
0.12, 0.0319375, 0.0236816, -0.560427, -0.720045, -1.18809, -0.489773, -1.19815, -1.70351, -1.00317, -0.576886, -1.16024, -1.06883, -1.539, -1.03464, -1.70769, -1.98068, -2.12448, -2.23721, -2.30352, -2.63927, -3.06208, -3.55965, -3.43048, -3.06471, -3.37373, -3.06338, -2.9211, -2.82555, -2.81859, -3.05741, -2.79569
0.14, 0.0319375, 0.740325, -0.156951, -0.145417, -0.382515, -0.806836, -0.40822, -0.332628, -1.35131, -1.31342, -1.42887, -1.25255, -1.10063, -1.01363, -1.88304, -2.10114, -2.20652, -2.03099, -2.58686, -2.75717, -3.14571, -3.32972, -3.12905, -2.88018, -3.1368, -3.1442, -2.91178, -3.01729, -2.98194, -2.88079, -3.09531
0.16, 0.0319375, 0.221531, -0.403423, -0.934231, -0.585247, -0.590581, -0.723695, -0.79727, -1.49893, -1.1108, -1.04875, -1.82039, -2.02122, -1.2666, -1.44412, -1.45115, -2.37759, -2.70999, -2.14416, -2.64724, -3.30633, -3.6074, -3.21976, -3.43195, -3.08657, -3.33077, -3.18606, -2.71249, -2.67146, -3.00671, -2.83276
0.18, 0.0319375, -0.202138, 0.0468175, 0.0879751, -1.29685, -0.269489, -0.2593, -0.872795, -1.47255, -1.52456, -1.23703, -1.35874, -1.52747, -0.687572, -1.38335, -2.0611, -2.41467, -2.32972, -2.50727, -2.8789, -3.82088, -3.42904, -3.19345, -2.99828, -3.01495, -3.25845, -2.71726, -3.18382, -2.7283, -2.82003, -2.95734
0.2, 0.0319375, 0.16649, -0.0784399, -0.257039, -0.674945, -0.28923, -1.16797, -0.773888, -1.21457, -2.1092, -2.36761, -1.09293, -1.23542, -1.25555, -1.85238, -2.13802, -2.46059, -2.66853, -1.90317, -2.24939, -3.1373, -3.29686, -3.47165, -3.25599, -3.33124, -3.31916, -3.01807, -3.05525, -2.89096, -3.07746, -3.08511
0.22, 0.0319375, 0.609519, -0.0863268, -0.488089, -0.655842, -0.622795, -0.568074, -1.14629, -1.05031, -1.38096, -1.44066, -1.53312, -1.26607, -0.461731, -1.45873, -1.8281, -2.19664, -2.42171, -2.5436, -2.51107, -3.02177, -3.22207, -3.21863, -3.40734, -3.38987, -3.53121, -3.45762, -3.0521, -2.94066, -2.97487, -3.10689
0.24, 0.0319375, -0.301381, 0.196535, -0.223275, -1.12427, -0.240049, -0.530312, -0.766495, -1.01996, -1.35738, -1.56959, -0.888131, -0.984854, -0.368902, -2.3794, -2.16024, -2.52773, -2.62789, -2.48383, -2.66397, -3.5849, -3.73863, -3.88122, -3.21181, -3.1009, -3.60068, -3.49407, -3.10521, -2.78294, -2.77697, -2.97856
0.26, 0.0319375, 0.507342, 0.124528, 0.0560582, -0.851621, -1.2688, -0.568718, -0.832372, -1.27246, -0.722032, -0.858983, -1.36902, -1.32783, -0.972745, -1.88632, -2.02293, -2.2483, -2.58581, -2.42145, -2.41923, -3.76296, -3.82301, -3.60739, -3.01196, -3.17906, -3.44529, -3.20419, -3.00646, -3.09892, -2.91679, -3.06902
0.28, 0.0319375, 0.108649, -0.628586, -0.38187, -0.293464, -0.263875, -0.936466, -0.834088, -0.610398, -1.32722, -1.25328, -1.10103, -0.859117, -1.1437, -1.42076, -1.8473, -2.02366, -2.04541, -2.4144, -2.43751, -3.30617, -3.52087, -3.38103, -3.31059, -3.43721, -3.2845, -3.35461, -3.22943, -3.3794, -3.20952, -3.12312
