# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -4.90785, -4.4727, -3.51424, -4.04349, -4.1694, -3.87408, -3.42911, -4.059, -4.45614, -3.62313, -3.89461, -4.11367, -4.0807, -3.99666, -3.6719, -3.66607, -3.86014, -4.01446, -3.93922, -4.03867, -3.56663, -3.59356, -3.51575, -3.48695, -3.78856, -3.57538, -3.64832, -3.76324, -3.86539, -3.92644
0.02, 0.0319375, -4.54116, -4.02117, -3.50983, -3.39242, -3.96504, -3.80106, -4.0093, -4.10826, -3.92288, -3.90895, -4.49025, -4.00141, -3.99772, -4.56704, -3.97041, -4.11257, -4.8946, -4.67089, -4.09996, -4.29394, -4.01384, -3.55953, -3.8962, -3.79995, -3.67625, -3.67852, -3.6977, -3.68551, -3.40924, -3.45905
0.04, 0.0319375, -3.96114, -4.08947, -3.30979, -3.55811, -3.97044, -4.34327, -3.81188, -4.26378, -3.95548, -3.65342, -4.30234, -3.97555, -4.26486, -4.94085, -4.04985, -4.15745, -4.08922, -4.59989, -4.36065, -4.40048, -4.15429, -3.80767, -3.65654, -3.97865, -3.77016, -4.00312, -4.04427, -3.9213, -3.92126, -3.84243
0.06, 0.0319375, -3.86799, -3.75555, -3.51064, -3.47176, -3.32794, -3.05145, -2.67732, -2.68781, -2.88219, -3.09485, -3.62643, -2.96927, -2.86234, -2.742, -2.67871, -3.01095, -3.35056, -4.23509, -4.17933, -3.68683, -3.01825, -3.29465, -3.99553, -3.28635, -3.27491, -3.80202, -3.2234, -3.23849, -3.21481, -2.93084
0.08, 0.0319375, -3.69585, -2.25454, -1.40026, -2.23132, -2.54727, -0.787183, 0.366239, 0.311464, -0.723715, -0.737775, -0.767724, -1.00036, -0.804249, -0.572141, -0.750033, -1.49844, -2.43196, -3.2028, -2.9873, -2.00407, -0.901074, -1.17731, -1.76817, -0.955746, -1.52955, -2.46631, -1.8407, -1.76307, -1.62749, -0.840313
0.1, 0.0319375, -3.75548, -2.68039, -0.992852, -0.355884, -2.13741, -2.05121, -0.546512, 0.639657, 0.768463, -1.87357, -1.53699, -0.00936282, -1.07221, -0.787446, 0.307844, -1.22553, -1.74235, -2.44835, -1.7957, -1.41437, 0.178396, -0.537029, -0.997217, -0.352013, -0.951008, -1.65329, -0.971085, -1.07359, -0.951019, -0.247291
0.12, 0.0319375, -4.18408, -3.36516, -1.03009, 0.340741, -1.42468, -1.82467, -1.06784, 0.528197, 1.16039, -1.8885, -2.41405, -0.221952, -0.270512, -1.96705, 0.0810202, -0.685626, -1.65781, -1.7992, -2.48574, -1.12827, -0.506315, -0.155618, -0.646736, -0.880692, -1.20522, -1.54869, -1.28482, -1.25618, -1.30594, -0.635612
0.14, 0.0319375, -3.96852, -3.44413, -1.62353, 0.358128, -1.33135, -2.80004, -1.41714, -0.0186086, 1.42988, -1.36876, -2.62429, -0.409127, -0.178253, -2.80572, -0.625068, -1.11116, -2.39239, -2.12161, -3.11189, -1.26392, -0.559072, 0.355886, -0.6411, -0.706835, -0.546567, -1.19037, -1.27072, -1.06128, -1.13889, -0.925439
0.16, 0.0319375, -3.76088, -3.07613, -1.61912, 0.370143, -1.4511, -3.05247, -1.79494, 0.293596, 1.85661, -1.11542, -2.89305, -0.362054, -0.212793, -3.23784, -0.383023, -0.894144, -2.65853, -1.75363, -2.8125, -1.4517, -0.579663, 0.249028, 0.0364535, -0.156644, -0.352428, -0.586454, -0.636129, -0.684656, -0.830659, -0.22398
0.18, 0.0319375, -3.67272, -3.45656, -1.51338, 0.462902, -1.26113, -3.52348, -2.72823, 0.446904, 2.01132, -1.2862, -3.02234, -0.291909, -0.134768, -3.03554, -0.197311, -0.563333, -2.50218, -1.63312, -2.46335, -0.778325, -0.348533, 0.430286, 0.319056, 0.163737, -0.173792, -0.334844, -0.145229, -0.413989, -0.826018, -0.260978
0.2, 0.0319375, -4.75904, -4.12202, -1.2535, 0.749539, -0.888155, -3.05292, -2.95971, 0.745686, 2.03707, -1.5631, -2.55657, 0.0333452, 0.0343724, -2.76019, 0.556394, -0.0226387, -2.14476, -1.2412, -1.96533, -0.359629, -0.407065, -0.000789417, 0.792585, 0.0962171, -0.386904, -0.597243, -0.259549, -0.647826, -0.943983, -0.402539
0.22, 0.0319375, -3.57238, -3.36384, -1.22388, 0.850223, -0.905479, -2.93482, -2.69734, 0.736924, 2.48437, -0.502405, -2.97148, -0.0520797, 0.166956, -2.45993, 0.45456, -0.0572282, -2.23029, -0.916909, -1.768, -0.0708694, -0.0427676, 0.792482, 0.514983, 0.204301, 0.104245, -0.237761, -0.243546, -0.467926, -1.0119, -0.309501
0.24, 0.0319375, -4.29366, -3.38047, -1.34641, 0.796299, -0.784237, -3.00659, -2.80068, 1.13602, 3.05216, 0.17321, -2.59321, -0.162914, 0.157017, -2.60308, 0.299679, -0.197365, -2.45135, -0.920759, -1.8797, 0.223531, 0.172872, 1.11389, 0.12118, 0.419576, 0.635477, 0.218533, 0.173538, -0.10627, -0.654589, 0.0161491
0.26, 0.0319375, -4.53149, -3.49591, -1.53803, 0.637642, -0.883658, -2.87484, -2.66397, 1.47938, 3.43161, 0.517765, -2.05286, -0.108509, 0.241093, -2.62777, -0.427849, -0.720287, -1.8314, -0.285065, -2.07564, 0.323948, 0.270107, 1.24626, 0.470241, 0.600548, 0.750031, 0.201108, 0.507287, 0.329922, -0.352917, -0.258334
0.28, 0.0319375, -3.33337, -2.71279, -1.66757, 0.458773, -0.960677, -2.46475, -2.15996, 1.48226, 3.49248, 0.678481, -2.48099, 0.000649122, 0.35974, -2.19792, -1.26787, -1.43136, -1.32432, 0.319891, -1.56667, 0.192414, 0.560045, 1.50955, 0.321743, 0.563546, 0.791694, 0.300546, 0.328834, 0.386222, -0.0266157, 0.195882
0.3, 0.0319375, -3.9884, -3.07105, -2.5816, -0.0673287, -1.29989, -3.28537, -2.62713, 1.11842, 3.42191, 0.787061, -1.96216, -0.021065, 0.539162, -2.71114, -0.995747, -0.742155, -1.86373, -0.262011, -1.25031, 1.31443, 0.520097, 1.67461, 1.1452, 1.25574, 0.863369, 0.641535, 0.792569, 0.672077, 0.309871, 0.533081
0.32, 0.0319375, -3.1675, -2.63578, -2.00594, -0.0145666, -1.17026, -3.07756, -2.5497, 0.986632, 3.24472, 0.57219, -1.91308, 0.197376, 0.720724, -2.38192, -0.0973608, -0.101348, -0.92932, 0.404181, -1.05924, 1.38917, 0.623212, 1.63845, 1.09901, 1.0979, 0.951916, 0.958308, 1.04435, 0.54777, 0.337284, 0.478236
0.34, 0.0319375, -3.24235, -2.74903, -2.46305, 0.1194, -0.96063, -3.07974, -2.83232, 0.617608, 3.21674, 0.796796, -2.33721, -0.0357138, 0.794896, -2.59041, -0.511901, -0.454666, -1.71859, 0.120211, -1.05258, 1.3665, 0.184025, 1.07696, 1.04675, 1.25119, 0.341528, 0.554037, 0.700809, 0.331146, 0.0885793, 0.249077
0.36, 0.0319375, -4.19313, -3.27236, -2.14805, 0.54909, -0.618845, -3.46306, -3.5104, 0.388054, 2.91106, 0.669152, -2.01209, -0.533037, 0.495246, -2.43412, -0.819474, -0.361752, -1.58305, 0.979987, -0.787201, 1.05415, 0.168402, 0.339165, 0.475616, 0.848038, 0.73373, 0.845733, 0.613935, 0.256375, 0.0795625, 0.033395
