# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -2.28292, 0.413176, 0.852487, -1.26585, -0.388596, -0.232787, -0.522092, -0.793711, -2.02772, -1.31546, -2.1048, -2.33345, -1.61579, -1.09142, -0.825994, -0.953317, -1.12876, -1.20692, -1.92496, -2.56489, -1.90869, -2.34351, -2.33466, -1.60392, -0.716438, -0.938332, -0.623605, -1.60905, -1.84093, -1.07154
0.02, 0.0319375, -2.28385, 0.133098, 0.330455, -0.637654, 0.480157, -0.313969, -0.281266, -0.956067, -1.78064, -1.33046, -2.06667, -2.49382, -1.13006, -0.982989, -0.598318, -1.10863, -0.928049, -0.958597, -1.49074, -2.07929, -1.8166, -1.92437, -1.66434, -1.13342, -0.192502, -0.65569, -0.685995, -1.37323, -1.51158, -0.873842
0.04, 0.0319375, -1.52148, -0.984111, -1.65587, -0.338834, 0.986018, 0.0469475, 0.716474, -0.919068, -0.693215, -0.917461, -2.53566, -2.31197, -1.29025, -0.554388, -0.653667, -0.634898, -0.525747, -0.46705, -1.06284, -1.82637, -1.69521, -1.54949, -1.36388, -1.06255, -0.0417924, -0.407227, -0.203394, -0.834547, -1.07349, -0.646102
0.06, 0.0319375, -2.25631, -0.724762, -0.136544, 0.98976, 1.44163, -0.544573, -0.583345, -0.684521, -0.735039, -1.13769, -1.81124, -1.98129, -1.38813, -0.962016, -1.02438, -0.234871, -0.156582, -0.582703, -1.26287, -2.15036, -1.80576, -1.60818, -1.76971, -0.864674, 0.0234697, -0.49649, 0.0103952, -0.810269, -1.25945, -0.760911
0.08, 0.0319375, -1.94371, -0.754325, 0.20124, 0.853652, 0.379895, -0.511422, 0.319518, -0.123076, -0.67487, -1.54421, -1.60164, -1.35122, -1.78776, -1.06307, -0.65062, -0.100472, -0.0697077, -0.733489, -1.4227, -2.0048, -2.10456, -1.78237, -1.53294, -1.2169, -0.0433114, -0.183275, -0.151266, -0.732383, -1.52622, -0.992007
0.1, 0.0319375, -1.70686, -1.1558, 0.1788, 1.02062, -0.270442, -0.822549, -0.273213, -1.21047, -1.37083, -1.77217, -2.06524, -1.74668, -1.89246, -0.978858, -0.860819, -0.508362, -0.677158, -0.884965, -1.63429, -1.94529, -1.84303, -2.24138, -2.12046, -1.51695, -0.122951, -0.497498, -0.627458, -0.877607, -1.78787, -1.39681
0.12, 0.0319375, -2.59845, -1.06298, 0.416273, 0.312087, -0.525031, -1.34101, -0.696633, -1.05711, -1.19421, -2.33086, -2.49548, -2.14386, -2.05124, -1.84402, -0.711779, -0.644305, -0.485671, -1.02251, -1.68418, -2.0046, -2.51821, -2.11919, -2.04999, -1.78361, -0.73252, -0.697279, -0.815944, -1.30884, -2.03729, -1.45781
0.14, 0.0319375, -1.66787, -1.52463, -0.443767, 0.122369, -0.321549, -1.59768, -0.584271, -1.46463, -1.7627, -1.98615, -2.59106, -2.35772, -2.26452, -1.67691, -0.94299, -1.04513, -1.14129, -1.16059, -2.00043, -2.66699, -2.69092, -2.4872, -2.59053, -2.35929, -1.30046, -1.07558, -1.32808, -1.69867, -2.15572, -1.90101
0.16, 0.0319375, -1.79508, -2.31883, -1.52138, -0.540586, -0.93507, -1.7522, -0.936194, -1.40772, -2.09958, -2.11779, -2.26533, -2.9302, -2.42987, -2.44148, -1.65178, -1.01325, -1.3353, -1.66164, -2.22547, -2.32919, -2.66668, -2.44941, -2.64852, -2.22675, -1.31697, -1.35775, -1.45937, -1.84548, -2.91144, -2.36674
0.18, 0.0319375, -2.56063, -2.15677, -1.0184, -1.01767, -2.29883, -1.50214, -1.15457, -1.54162, -1.75484, -2.65826, -3.08144, -3.10464, -2.69592, -1.94865, -1.76202, -1.53651, -1.58673, -2.08847, -2.56388, -2.55332, -3.08906, -2.57826, -2.69034, -2.74491, -1.5277, -1.98326, -2.05622, -2.36047, -2.89407, -2.3125
