# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -3.44318, -3.85629, -3.53907, -3.14456, -3.32869, -3.7895, -3.72041, -4.12465, -3.51032, -3.96119, -4.32943, -4.71669, -4.15686, -4.3629, -4.42924, -3.74154, -3.90567, -3.87302, -4.01682, -3.96078, -4.50974, -5.1263, -5.06366, -4.86263, -4.00692, -4.48207, -4.49306, -4.59534, -4.76201, -4.91128
0.02, 0.0319375, -3.7475, -3.62362, -3.66192, -3.84319, -3.78411, -3.94369, -4.01303, -4.59801, -3.82719, -3.15506, -3.83294, -4.48262, -4.6326, -4.02117, -4.41588, -3.75984, -4.00223, -3.75087, -4.28192, -4.14417, -4.9995, -5.11354, -5.01667, -4.57903, -3.97885, -4.91053, -5.01333, -4.72501, -4.97413, -5.03516
0.04, 0.0319375, -3.39119, -3.67665, -3.72207, -3.49214, -3.49383, -3.48439, -3.95429, -3.81315, -3.17316, -3.14725, -3.82793, -4.02995, -4.45717, -4.06117, -4.39968, -3.77799, -3.3581, -3.34582, -4.10311, -4.07936, -4.25895, -4.79715, -4.55242, -4.6472, -4.3281, -4.33655, -4.43398, -4.57492, -4.66477, -4.51697
0.06, 0.0319375, -2.71081, -2.7444, -3.7005, -3.13186, -3.59566, -3.54212, -3.62281, -3.33418, -2.72811, -3.15332, -3.77756, -3.70095, -4.08158, -4.14105, -4.19463, -3.41574, -3.23742, -3.86868, -3.48953, -3.47158, -3.87806, -4.07237, -3.98739, -3.51344, -3.60366, -3.59299, -3.56034, -3.47945, -3.44062, -3.76801
0.08, 0.0319375, -3.32253, -3.76662, -3.9938, -3.88266, -3.67389, -4.07414, -3.31052, -3.7011, -3.42754, -3.48568, -3.85855, -4.3264, -3.99899, -4.42402, -4.34245, -3.37122, -3.75826, -4.27398, -3.78155, -4.26677, -4.33221, -4.34695, -4.0461, -3.68598, -3.39147, -3.64623, -3.63749, -4.17827, -4.03026, -4.10271
0.1, 0.0319375, -3.5949, -3.21388, -3.44864, -3.12554, -3.38082, -4.00191, -4.22813, -4.08251, -3.00877, -3.26869, -3.64659, -3.57151, -3.56711, -4.19805, -4.22741, -3.62397, -3.41957, -3.78493, -3.51053, -4.24996, -4.73701, -4.85978, -4.74342, -3.72986, -3.63131, -4.5427, -4.12852, -4.30385, -4.49258, -4.66276
0.12, 0.0319375, -3.36497, -3.43738, -4.10194, -3.21577, -3.32761, -3.67298, -4.07916, -3.6948, -3.20937, -3.26676, -3.30581, -3.97239, -3.73471, -4.05677, -4.12945, -3.19232, -3.65906, -3.92902, -4.09874, -4.14344, -4.27626, -4.28476, -4.55427, -3.64071, -3.72974, -4.15588, -3.93812, -4.25934, -4.53778, -4.75009
0.14, 0.0319375, -3.16195, -3.11811, -3.48736, -3.41489, -2.96971, -2.9117, -3.81921, -3.49784, -2.69862, -2.69202, -3.19842, -4.07513, -3.23825, -4.13362, -4.15535, -3.61917, -3.46194, -3.05086, -3.74193, -3.59715, -4.70454, -4.39609, -4.34642, -3.90029, -4.10701, -4.09557, -3.59787, -3.82767, -4.86471, -4.8033
0.16, 0.0319375, -3.65387, -3.25198, -2.57338, -1.97499, -2.6986, -3.67769, -3.72779, -3.79072, -3.66136, -3.28453, -3.5963, -3.89422, -3.40903, -3.79041, -3.75168, -3.44276, -4.13979, -3.99716, -4.1378, -3.20877, -4.41501, -4.24478, -4.68402, -4.27214, -3.94822, -3.84154, -4.05158, -4.34673, -4.37533, -4.40896
0.18, 0.0319375, -3.27148, -2.75127, -3.07653, -2.48108, -3.52024, -3.78372, -3.79753, -3.48343, -3.3563, -3.02475, -3.73357, -4.21478, -3.89988, -5.2458, -3.70149, -3.29272, -4.18074, -3.8822, -4.25493, -3.27561, -4.57485, -4.80372, -5.18828, -4.62256, -4.73251, -4.35252, -4.50627, -4.26263, -4.62648, -4.73851
0.2, 0.0319375, -3.62281, -3.62309, -2.63852, -3.19457, -3.67223, -3.96956, -3.64491, -3.25937, -3.24005, -3.48253, -4.00843, -3.74277, -3.6505, -4.24187, -3.90923, -3.43793, -3.99608, -3.77946, -4.28887, -3.59975, -4.49176, -4.63535, -4.54372, -4.44885, -4.46422, -4.52214, -4.46575, -4.94005, -4.83464, -4.75153
0.22, 0.0319375, -3.14083, -2.84267, -3.51536, -4.26008, -3.3118, -3.95345, -4.27676, -3.59028, -3.05964, -2.93161, -3.90689, -3.97632, -4.07936, -4.58142, -3.61774, -4.21273, -4.22038, -3.40459, -4.64489, -4.10278, -4.70513, -5.1207, -4.29499, -4.33999, -4.47396, -4.18049, -4.09164, -4.2995, -4.64512, -4.25706
0.24, 0.0319375, -4.17203, -3.0714, -3.48269, -3.07093, -3.33868, -3.89728, -4.46129, -4.31862, -3.67131, -3.93618, -4.13028, -4.29536, -3.98637, -4.51459, -4.27421, -4.33099, -3.90862, -3.61011, -4.7727, -4.62085, -4.43193, -4.23013, -4.25524, -4.09984, -3.71398, -4.42831, -3.7504, -4.21581, -4.14759, -3.83809
0.26, 0.0319375, -3.03149, -3.20171, -3.79382, -4.80046, -4.31504, -3.67477, -4.0705, -4.17107, -3.97101, -4.21345, -4.04432, -3.80709, -4.67442, -4.25902, -4.86524, -4.61848, -4.76477, -4.64603, -4.23838, -3.94041, -4.38705, -4.27932, -3.79135, -3.55039, -3.77824, -3.61505, -3.30416, -3.43586, -3.26316, -3.4925
0.28, 0.0319375, -2.25286, -1.86202, -2.32294, -3.44917, -3.64723, -3.72017, -3.9207, -3.16627, -2.6019, -3.1932, -2.85712, -3.12976, -4.08518, -4.11445, -3.63283, -4.17806, -3.6948, -3.74902, -3.46805, -3.32232, -3.6506, -3.90797, -3.73082, -3.35895, -3.47451, -3.50749, -3.76836, -3.76224, -3.85655, -3.90627
0.3, 0.0319375, 0.341293, 0.0485854, 0.372842, 0.182422, -0.598684, -0.152627, -0.0100771, 0.0812088, -0.0704409, -0.650388, -0.918711, -1.36891, -1.96123, -1.47797, -1.24385, -1.67029, -1.11043, -2.28759, -3.01688, -2.61097, -2.4626, -2.86172, -3.03627, -2.78053, -1.79942, -2.38701, -2.96576, -3.3965, -2.53138, -3.01574
0.32, 0.0319375, 1.22889, 2.93749, 1.89243, 1.25438, 1.54319, 0.89486, 1.93339, 2.55957, 1.68829, 1.208, 1.108, 1.08498, 0.591848, 0.533822, 1.09353, 0.0037515, -0.0357564, -0.970474, -1.77875, -1.37005, -1.65801, -1.94381, -1.21345, -0.722706, -0.576145, -0.39476, -0.779168, -1.82453, -1.30673, -1.20283
0.34, 0.0319375, -0.0061113, 2.18813, 3.65528, 3.86303, 2.20449, 2.0773, 3.19835, 4.04558, 2.68109, 1.49756, 2.31013, 1.63736, 1.37532, 2.17658, 1.12711, 0.659819, 0.406099, -0.120868, -0.773898, -0.467799, -0.321522, 0.554071, 0.794966, 0.356542, 0.587278, 0.359788, -0.18318, -0.0486031, -0.189121, -1.2405
