# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -6.93281, -6.30607, -6.57517, -6.52343, -6.11634, -6.50336, -6.49446, -6.73537, -6.54783, -6.58102, -7.22271, -6.97669, -6.7095, -6.37162, -6.73563, -6.73543, -6.72295, -7.12665, -7.14164, -6.46562, -6.3159, -6.35979, -6.84948, -6.68267, -6.40245, -6.62076, -6.55704, -6.48594, -6.39593, -6.51799
0.02, 0.0319375, -5.50562, -4.91673, -5.01447, -5.06586, -4.57561, -4.76207, -5.20829, -6.19472, -6.38524, -6.38542, -6.00912, -6.08956, -6.39052, -6.27407, -6.18915, -6.321, -5.94935, -5.64279, -5.90805, -5.89363, -5.8096, -5.81055, -5.5811, -5.47403, -5.65007, -5.18421, -5.44721, -5.14218, -4.77923, -4.83828
0.04, 0.0319375, -3.97888, -4.26149, -4.01821, -4.17063, -4.48006, -4.94079, -5.03492, -5.12225, -5.98772, -6.31213, -5.68562, -5.62369, -5.85653, -5.80503, -5.7963, -5.71371, -5.78969, -5.64625, -5.52196, -5.84523, -5.56202, -5.788, -5.1916, -5.09207, -5.01732, -4.92195, -4.8388, -4.68169, -5.07187, -4.9901
0.06, 0.0319375, -4.54172, -4.42091, -3.69128, -4.13036, -3.61141, -3.94148, -4.3107, -4.46788, -4.07803, -3.93575, -4.72381, -4.43931, -4.67571, -4.71171, -4.45232, -4.4373, -4.02411, -3.89851, -3.5973, -3.34653, -3.42752, -3.66109, -3.31756, -3.14455, -2.96998, -3.16831, -2.87354, -2.77028, -2.71522, -2.72549
0.08, 0.0319375, -2.90112, -2.76306, -2.62526, -2.93094, -2.58946, -2.65649, -2.36838, -2.21432, -2.38677, -2.34834, -2.24313, -2.20042, -2.03869, -1.90014, -1.78246, -1.80764, -1.66644, -1.47129, -1.29257, -1.35241, -1.17138, -1.25918, -1.24623, -1.28921, -0.977295, -1.06333, -0.942766, -0.762744, -0.36394, -0.196028
0.1, 0.0319375, -3.34128, -3.41171, -3.1274, -3.12383, -3.09491, -3.25033, -2.46425, -2.77238, -3.31444, -3.19742, -2.61299, -2.85505, -2.78335, -2.74761, -2.64867, -2.61373, -2.55875, -2.30458, -1.96357, -2.16296, -1.84113, -1.8325, -1.92519, -1.95325, -1.37007, -1.50429, -1.3307, -1.27722, -1.00945, -0.863992
0.12, 0.0319375, -2.94386, -2.73248, -2.64796, -2.44997, -2.74333, -3.50142, -3.41045, -2.99711, -2.86038, -2.76104, -3.04997, -2.81267, -3.10947, -2.35843, -2.26566, -2.28056, -1.91252, -1.74944, -2.22613, -2.03497, -1.96229, -1.73388, -1.2523, -1.27191, -1.57786, -1.51109, -1.44179, -1.00248, -0.852437, -0.689859
0.14, 0.0319375, -2.94022, -2.59448, -2.25586, -2.53005, -2.92079, -2.84335, -2.91268, -3.01318, -3.08082, -2.98671, -3.20933, -2.98495, -3.01061, -2.74732, -3.0549, -2.81492, -2.43422, -2.79143, -3.21666, -2.26974, -2.24412, -2.21763, -2.13408, -1.95157, -1.94355, -1.54667, -1.37592, -1.4441, -1.28288, -1.10658
0.16, 0.0319375, -2.43367, -2.90941, -2.43758, -2.6332, -2.59383, -3.28484, -2.71503, -3.0458, -2.48053, -2.52684, -2.937, -2.69084, -2.2905, -2.17402, -2.47353, -2.3086, -2.36003, -2.43885, -2.6868, -1.9502, -2.02489, -2.26554, -1.76412, -1.61038, -1.2053, -1.29349, -1.31719, -1.74818, -1.32046, -1.24221
0.18, 0.0319375, -2.42833, -2.83671, -2.57477, -2.26002, -3.26233, -3.61311, -3.08152, -3.50804, -3.4722, -3.2258, -2.75548, -2.673, -2.93657, -2.50736, -2.65441, -2.79485, -3.28125, -2.53528, -2.45754, -2.0203, -1.9022, -2.20929, -1.77778, -1.40584, -1.33083, -1.3692, -1.71316, -1.90271, -1.55329, -1.32571
