# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -2.73626, -1.82315, -0.833066, 0.845628, 1.54315, -0.736149, -1.55117, -0.819305, -0.0783278, 1.33687, -0.815127, -2.75953, -1.47737, -0.974181, -0.533661, 0.278328, 0.609303, 0.782616, 1.47699, 0.14731, -0.137316, -0.75883, -0.27025, -0.530339, -0.540127, -0.701089, -0.13955, 0.0906878, 0.106277, -0.28531
0.02, 0.0319375, -2.18977, -2.54689, -1.56618, 1.46523, 1.95946, -0.872207, -1.46324, -1.49589, -0.0500931, 1.08332, -0.775899, -1.53512, -0.79131, -0.516381, -0.699541, 1.47548, 1.59393, 0.601583, 1.654, -0.27835, -0.193664, -0.999542, -0.296271, -0.848711, -0.983055, -1.38446, -0.251056, 0.387762, 0.17372, -0.17426
0.04, 0.0319375, -1.00551, -0.561944, -0.390696, 1.28916, 1.97965, -0.643919, 0.00821615, 0.648595, 1.13433, 1.4905, -0.890082, -1.7512, -0.435645, -0.915564, -0.766531, 0.738913, 0.317217, 0.303029, 0.707291, -0.713755, -0.84674, -1.79393, -1.16478, -0.830963, -1.32198, -1.314, -0.386417, -0.0166857, 0.0185729, -0.377235
0.06, 0.0319375, -0.299723, -0.240093, -1.78829, -0.095314, 1.41514, 0.28483, 0.0587567, 0.740548, 0.576081, 0.707411, -1.35568, -2.32937, -1.9113, -1.20916, -1.63451, 0.197684, 0.0037926, 0.112704, 0.172978, -0.97308, -1.83429, -1.45184, -1.61188, -1.72992, -2.20307, -2.29424, -1.84799, -1.31444, -0.961352, -1.5814
0.08, 0.0319375, -0.473641, -0.653346, -1.83981, -0.495728, 0.352011, -1.20214, -1.32439, -1.25604, -0.428243, 0.341287, -1.40104, -2.76252, -2.47318, -1.68674, -1.80589, -0.55172, -0.74716, -0.755532, -0.223057, -1.59208, -1.62682, -2.5876, -2.20466, -2.20733, -2.59632, -2.33026, -2.24735, -1.48501, -1.80096, -2.00623
0.1, 0.0319375, -1.91974, -1.77667, -1.99871, -1.22027, -0.256937, -2.26193, -1.86907, -1.25567, -0.241474, 0.294507, -1.81424, -2.43266, -2.35872, -2.14798, -2.54841, -0.793025, -0.938986, -0.996465, -0.662586, -2.23058, -2.72529, -2.72487, -2.78189, -2.43383, -2.7437, -3.08281, -2.79569, -2.28818, -2.24493, -2.66261
0.12, 0.0319375, -2.04878, -1.68589, -1.4246, -0.893193, -0.657853, -0.696094, -0.2876, -0.0751714, -0.145857, -0.136927, -0.804463, -0.415313, -0.871838, -1.70166, -0.820661, 0.273951, 0.17155, -0.305941, 0.257226, 0.013866, -0.194559, -0.47172, -0.687329, -1.04798, -1.3266, -1.70363, -1.1344, -0.809428, -0.891101, -1.10404
0.14, 0.0319375, -2.35458, -1.91868, 0.330489, 0.532255, -0.601059, -0.674182, 0.954685, 2.01809, 1.48284, 1.14512, 0.584072, 1.75265, 0.435019, 0.183711, 0.720652, 1.77056, 1.73114, 1.03272, 1.78666, 0.957965, 0.76164, 0.686054, 0.683054, 0.482984, 0.0266969, 0.20763, 0.693171, 1.21883, 0.995388, 0.79825
0.16, 0.0319375, -2.09683, -1.60903, -0.802681, 1.49479, 0.612632, -1.2043, -0.74973, 1.18365, 2.04773, 1.13623, -0.699685, 1.40731, 2.07068, -0.151931, 1.93812, 2.9312, 1.56839, 2.03281, 1.45951, 1.461, 0.95953, 1.28384, 0.866087, 0.789817, 0.235411, 0.175059, 0.669412, 1.38462, 1.55167, 1.18854
0.18, 0.0319375, -2.45159, -2.0458, -1.46317, 1.13564, 2.05272, -0.486364, -1.57881, 0.0833791, 2.48167, 3.53171, 1.01185, 0.205772, 1.31104, 0.855461, 1.14397, 3.39084, 3.03876, 1.65195, 2.65905, 1.55214, 1.76512, 1.44134, 1.40178, 0.633575, 0.376106, 0.531286, 1.5486, 1.64886, 1.65329, 2.1494
0.2, 0.0319375, -3.33311, -2.41062, -1.81323, 0.824757, 2.47009, 0.345093, -1.29551, 0.222882, 2.45612, 4.03274, 2.21259, -0.0157504, 0.587301, 1.90576, 0.60254, 2.23656, 3.34396, 1.20365, 2.55491, 2.7514, 1.30711, 2.18698, 1.26372, 1.23295, 0.917655, 1.30172, 1.79767, 2.15773, 1.929, 2.04744
0.22, 0.0319375, -2.06416, -1.42191, -1.92021, -0.174836, 2.73827, 1.52972, -0.724324, -0.0871834, 1.44138, 2.54584, 1.96215, -0.266899, 0.361275, 1.90367, 1.42864, 1.49765, 3.18414, 2.38976, 1.73647, 3.47889, 1.68895, 2.35845, 1.09836, 2.09437, 1.34949, 1.64734, 1.94094, 2.60032, 2.34741, 1.92396
0.24, 0.0319375, -1.40773, -1.63199, -2.0732, -1.41742, 2.71213, 2.12863, -1.68143, -0.725625, 0.873068, 3.15017, 3.19182, 0.0877733, -0.276024, 1.70935, 2.09279, 1.05931, 2.96132, 4.2245, 1.45935, 3.46637, 2.5184, 1.72105, 1.26952, 1.85173, 1.59186, 2.10745, 1.98962, 2.11143, 2.21109, 1.83574
0.26, 0.0319375, -1.60445, -1.77946, -2.39535, -1.10148, 2.59441, 2.40505, -0.758178, -0.840551, 1.17695, 2.54902, 2.8133, 0.469357, -0.598489, 1.38029, 3.06613, 1.18566, 2.11143, 4.65327, 2.8965, 3.56034, 3.4807, 2.22844, 3.11342, 1.50455, 1.74772, 1.85173, 1.99403, 2.58347, 2.34603, 2.37217
0.28, 0.0319375, -1.50745, -1.81323, -1.38746, -1.0353, 1.60983, 2.48586, -0.0694196, -0.34764, -0.184027, 2.46141, 3.17371, 1.70977, -0.0828255, 0.69526, 2.38603, 1.74221, 2.35378, 4.3518, 3.79845, 2.78538, 3.44307, 1.81918, 3.18263, 1.9154, 2.94139, 2.39768, 2.60255, 3.01016, 2.34893, 2.68891
0.3, 0.0319375, -2.3381, -1.71774, -0.0356687, -0.359947, 1.53024, 2.70806, 0.303746, 0.710736, 0.473492, 2.04522, 2.81659, 2.25305, 0.159208, 1.16825, 2.77498, 2.77011, 2.91951, 4.37726, 4.48001, 3.25757, 3.21581, 2.68292, 3.34755, 2.9675, 2.51857, 2.22287, 2.7848, 3.09733, 2.94158, 2.92406
0.32, 0.0319375, -1.15535, -1.12006, -0.0729264, -0.481079, 1.19516, 2.48812, 0.853214, 1.98731, 1.15895, 1.6172, 2.2605, 2.02965, 1.28503, 0.751963, 2.43627, 3.42287, 3.87718, 4.04294, 4.04161, 4.20948, 2.94547, 3.20277, 2.598, 3.40563, 2.81558, 2.52918, 2.97704, 3.22815, 3.16857, 3.03232
0.34, 0.0319375, 0.0311532, -0.409751, 0.0592371, 0.321428, 1.21173, 2.98091, 1.37038, 1.97434, 1.32445, 1.43759, 1.72578, 2.5291, 1.57149, 1.10155, 2.45798, 3.86134, 3.7963, 3.62772, 4.49672, 4.0607, 3.15708, 2.89856, 3.22141, 3.08673, 2.19864, 2.55469, 2.7352, 3.04809, 3.05119, 3.11707
0.36, 0.0319375, -0.666755, -0.390742, -0.180203, -0.320517, 0.731162, 2.96943, 1.37869, 0.079521, 0.210639, 0.826532, 1.52099, 2.83424, 1.32762, 0.764727, 2.26385, 4.04793, 3.01973, 3.2339, 5.02764, 3.95766, 2.83071, 3.0913, 2.82251, 3.02692, 2.17807, 2.11574, 2.60234, 2.66726, 2.4755, 2.83556
0.38, 0.0319375, -1.17543, -0.799214, -1.20846, -0.881134, 1.03339, 3.3363, 1.49461, 0.53371, 0.0200918, 0.437004, 1.8646, 3.01227, 1.18107, 0.694212, 2.39959, 4.16518, 2.23997, 3.14687, 4.93447, 2.73399, 2.62084, 2.79497, 1.73704, 2.12889, 1.37084, 1.67412, 2.17455, 2.42671, 2.59839, 2.64136
0.4, 0.0319375, -1.23844, -1.71225, -1.65704, -0.820822, 0.991371, 3.1515, 1.26819, -0.211086, 0.186104, 0.570797, 2.06166, 2.93045, 0.0346376, 0.213873, 2.50947, 3.81059, 2.05102, 3.15599, 4.82773, 1.9266, 2.42857, 2.54833, 1.79941, 2.26836, 0.974751, 1.55266, 1.81108, 2.01322, 2.33606, 2.69985
0.42, 0.0319375, -2.38461, -3.07704, -2.03755, -1.17643, 0.881705, 3.21688, 1.41714, -0.312718, -0.670588, -0.0967878, 1.52396, 2.89645, -0.0754676, -0.554722, 2.10695, 4.0952, 1.73428, 2.544, 4.79643, 2.17902, 2.68444, 2.96864, 1.13385, 1.8161, 1.01507, 1.72198, 1.74962, 1.80202, 2.56206, 2.83012
0.44, 0.0319375, -1.48147, -1.89636, -1.71188, -1.81715, 0.990345, 3.23643, 1.47302, -0.0513897, -0.472189, -0.574295, 1.68972, 3.00506, 0.268747, 0.213345, 2.63417, 4.43754, 1.72139, 2.68555, 4.86862, 2.13238, 2.81369, 3.17785, 1.00278, 1.60008, 0.961998, 1.6552, 1.64494, 1.99162, 2.32661, 2.42778
0.46, 0.0319375, -1.99613, -1.95324, -2.07266, -1.1352, 1.0681, 3.07224, 1.18219, -0.67347, -0.746661, -0.512414, 1.96566, 2.78126, -0.289159, -0.16712, 3.15465, 4.16089, 1.44141, 2.98818, 4.52533, 1.32619, 2.90903, 2.81502, 1.22273, 1.43903, 1.29197, 1.35688, 1.99561, 2.12906, 2.22979, 2.47988
0.48, 0.0319375, -2.97845, -2.94246, -1.47154, -1.21653, 1.45502, 2.33272, 0.187134, -0.618948, -1.51739, -0.19315, 2.60569, 2.52204, -0.473252, -0.390215, 3.43986, 3.5188, 1.2348, 3.03683, 3.66571, 1.43009, 2.88781, 1.97745, 1.52328, 1.53711, 1.74035, 1.44795, 2.364, 1.93972, 1.81488, 2.19684
