# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, 1.83654, 2.42516, 1.86813, 2.15094, 2.15747, 2.25991, 2.06008, 2.47148, 2.61769, 2.38829, 2.11687, 2.24492, 2.18798, 1.83316, 1.86663, 1.74949, 1.72394, 1.85641, 2.04832, 1.96725, 1.63092, 1.69465, 1.65452, 1.40349, 1.35811, 1.30228, 1.38756, 1.58002, 1.39842, 1.38757
0.02, 0.0319375, 2.70955, 2.02009, 2.50606, 2.09573, 1.68446, 1.8552, 1.75295, 1.85543, 2.49356, 2.39765, 2.15508, 2.12866, 2.15245, 2.33797, 2.30183, 1.7599, 1.73707, 1.79768, 1.87491, 1.91374, 1.74253, 1.75944, 1.63279, 1.68155, 1.86926, 1.72457, 1.34431, 1.48154, 1.09046, 1.45149
0.04, 0.0319375, 1.76466, 2.03017, 1.69649, 1.50895, 2.14988, 1.47212, 2.26517, 1.59284, 1.87838, 1.99628, 1.44648, 1.22416, 1.62792, 1.91439, 1.41793, 1.44866, 2.07865, 2.1668, 1.70561, 1.80979, 1.77259, 1.46075, 1.57139, 1.64014, 1.66751, 1.51351, 1.66919, 1.29969, 1.2664, 1.60864
0.06, 0.0319375, 1.65167, 2.81712, 2.41846, 2.18248, 2.11064, 1.49526, 1.37222, 2.21956, 2.15883, 2.56453, 1.80632, 1.85576, 2.02506, 1.60587, 2.05886, 1.62345, 1.77201, 1.7669, 1.68927, 1.75568, 1.30122, 1.24381, 1.57586, 1.68065, 1.54211, 1.60819, 1.81601, 1.57016, 1.41829, 1.34289
0.08, 0.0319375, 2.14687, 1.83969, 1.74613, 2.47433, 2.15292, 1.60252, 1.40918, 2.15795, 2.05073, 1.82212, 1.86838, 1.60057, 2.19587, 2.4212, 2.25584, 1.86539, 1.88186, 1.92685, 1.82493, 1.85915, 1.30541, 1.15524, 1.55727, 1.46225, 1.54458, 1.67737, 1.3926, 1.05385, 1.41361, 1.25189
0.1, 0.0319375, 1.25271, 1.62945, 2.43078, 1.94772, 2.00936, 2.19836, 1.82123, 2.12398, 2.6282, 2.54128, 2.13104, 2.17805, 1.79297, 1.97026, 1.97484, 1.71237, 1.64128, 1.88928, 1.90158, 1.84766, 1.7718, 1.62774, 1.67913, 1.82014, 1.44984, 1.75914, 1.59949, 1.64014, 1.80997, 1.41194
0.12, 0.0319375, 1.3655, 2.78322, 2.81067, 1.93131, 2.11272, 1.89005, 2.13714, 2.07866, 2.24011, 2.38579, 2.17327, 2.27399, 1.9431, 2.15425, 2.1657, 2.01315, 1.42749, 1.83932, 1.55865, 1.71473, 1.85013, 1.77352, 1.55569, 1.64154, 1.75856, 1.57043, 1.50231, 1.28075, 1.67381, 1.76957
0.14, 0.0319375, 1.78361, 2.195, 2.24699, 2.03523, 2.47532, 2.68743, 1.61146, 1.49612, 2.28085, 2.29685, 1.92967, 2.0336, 2.12005, 1.91312, 1.66198, 1.75191, 1.91086, 1.81902, 1.85014, 1.71709, 1.74253, 1.25511, 1.84687, 1.48003, 1.50918, 1.63883, 1.38315, 1.64097, 1.80098, 1.66893
0.16, 0.0319375, 2.11194, 2.40406, 2.1391, 2.06388, 1.99141, 2.19476, 2.48264, 2.46149, 2.88001, 1.98472, 2.39536, 2.1025, 2.47029, 2.61063, 1.76957, 2.252, 2.05429, 2.09806, 2.16938, 1.51095, 1.33965, 1.64782, 1.78052, 1.77669, 1.62282, 1.48054, 1.46133, 1.56905, 1.44346, 1.41903
0.18, 0.0319375, 2.35584, 2.59556, 2.0245, 2.24216, 2.82519, 2.32761, 2.52216, 1.99451, 2.10379, 2.02193, 2.19251, 2.53682, 2.24489, 1.71338, 2.0678, 1.66448, 1.78792, 1.86412, 1.50243, 2.03978, 1.71058, 2.07174, 1.80977, 1.4337, 1.49312, 1.62636, 1.3677, 1.38238, 1.56985, 1.53814
0.2, 0.0319375, 1.52327, 2.00533, 1.50658, 2.17769, 2.78954, 2.08785, 2.06504, 2.49007, 1.97522, 2.15211, 1.87878, 2.01824, 2.11841, 2.28932, 2.03706, 1.93875, 2.15425, 1.95105, 1.30742, 1.48798, 1.85729, 1.33445, 1.74961, 1.61282, 1.70935, 1.42708, 1.5187, 1.56787, 1.47166, 1.64747
0.22, 0.0319375, 0.886201, 2.20045, 2.52199, 2.27526, 2.52846, 2.00317, 2.49758, 2.80308, 2.87642, 2.86122, 2.66399, 2.10484, 2.00292, 2.02336, 2.33558, 2.05197, 2.07417, 1.93025, 1.8681, 1.96519, 2.09101, 1.93515, 2.02846, 1.74016, 1.88748, 1.3723, 1.88679, 2.1195, 2.02457, 1.88042
0.24, 0.0319375, 1.94852, 2.43676, 2.38503, 2.60002, 2.57067, 2.2685, 2.77104, 2.30938, 2.67023, 2.75674, 2.68492, 2.88994, 2.86531, 2.67878, 2.25948, 2.16654, 2.17913, 2.05964, 2.49175, 1.86137, 1.86653, 1.99819, 1.97989, 1.7295, 1.82837, 1.98327, 1.70168, 2.08076, 2.05951, 2.11819
0.26, 0.0319375, 2.01327, 2.77771, 2.81203, 1.55134, 2.2546, 2.70853, 2.09425, 2.12787, 2.44877, 1.71009, 2.39989, 2.46899, 2.03222, 2.21639, 2.14051, 1.99736, 2.35415, 2.44049, 1.95017, 1.59673, 1.56759, 2.0038, 1.59897, 1.76395, 2.27836, 1.96499, 1.6383, 1.81198, 1.97159, 1.83227
0.28, 0.0319375, 1.27681, 2.57799, 1.9073, 2.16885, 2.76198, 2.05758, 2.43901, 2.2678, 2.23666, 2.63636, 2.10504, 2.67537, 2.44574, 2.39673, 2.18472, 2.00996, 1.97511, 1.95258, 1.99816, 1.93141, 1.7577, 1.56573, 2.00709, 1.821, 2.00054, 1.55372, 1.69716, 2.00767, 1.745, 1.9944
0.3, 0.0319375, 1.45708, 2.0071, 2.10797, 1.89139, 2.27556, 2.04704, 2.00866, 2.41764, 2.29637, 1.85109, 1.8488, 2.02616, 2.15347, 2.09928, 2.17219, 1.87251, 2.0324, 2.20282, 2.12437, 1.99021, 2.20008, 1.90587, 1.64067, 1.50883, 1.91079, 1.62713, 1.80973, 1.97269, 1.58496, 1.76813
