# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, 0.292498, 0.0714083, 0.90282, 1.04543, 1.78457, 0.807227, 0.871633, 1.14202, 0.942889, 0.489786, 0.0464724, 0.456058, -0.0594552, -0.414265, -0.352915, -0.711853, -0.687244, -0.787049, -0.756565, -1.20801, -1.20974, -1.38589, -1.75418, -1.20284, -1.12522, -1.3803, -1.42096, -1.40691, -1.45124, -1.25702
0.02, 0.0319375, 1.02803, 0.783269, 0.559838, 0.370807, 0.957936, 0.361163, 0.534598, 0.694641, 0.689261, 0.433804, 0.0241394, -0.225385, 0.335851, 0.290094, -0.0255173, -0.408386, -0.835132, -0.828863, -1.15294, -0.998461, -0.832006, -0.846477, -1.04972, -1.01556, -1.16235, -1.46068, -1.13136, -1.36131, -1.37377, -1.0566
0.04, 0.0319375, 0.177015, 0.402589, 0.872284, 1.29782, 1.52506, 1.36248, 0.734912, 0.80619, 0.524559, 0.114195, -0.277063, -0.281386, 0.164187, 0.0454562, -0.360542, -0.123248, -0.16236, -0.261323, -1.09251, -0.953395, -1.19091, -1.43995, -1.37597, -1.31731, -1.43998, -1.59256, -1.44962, -1.26319, -1.14257, -1.14761
0.06, 0.0319375, -0.00523888, 0.692604, 0.762329, 0.947089, 1.14131, 0.833497, 0.966501, 1.02009, 0.860006, 0.56469, 0.00827208, 0.0171343, 0.561351, -0.131299, -0.383444, -0.251849, -0.139517, -0.490006, -0.483518, -0.914311, -1.28253, -1.11621, -1.40162, -1.2602, -1.3006, -1.39398, -1.19835, -1.00685, -1.05263, -1.18002
0.08, 0.0319375, 0.493525, 1.28873, 1.2072, 0.600963, 0.642896, 0.683163, 0.410792, 0.333728, 0.652205, 0.668658, 0.830507, 0.358796, 0.470501, 0.234312, 0.118692, -0.555742, -0.699193, -0.738138, -0.935196, -0.849773, -1.13554, -1.26073, -1.40316, -1.37129, -1.28172, -1.75813, -1.26197, -1.35723, -1.10515, -1.23707
0.1, 0.0319375, 0.763127, 1.59898, 0.952432, 0.295716, 0.76252, 0.849136, 0.359734, 0.586142, 0.923235, 0.440032, 0.0413422, 0.109465, 0.0120608, -0.149352, 0.184, 0.0148952, -0.510351, -0.594191, -1.13362, -1.12683, -0.924773, -1.18582, -1.18265, -1.26742, -1.18313, -1.60094, -1.49967, -1.33071, -1.3845, -1.28079
0.12, 0.0319375, -0.069233, 0.488098, 0.499215, 0.0514864, 0.0479345, 0.130231, 0.658447, 0.984567, 0.97403, 0.657061, -0.868597, -0.142324, 0.0233822, 0.238078, 0.161441, -0.0520147, -0.524401, -0.597444, -0.993346, -1.23014, -1.06784, -1.38062, -1.67359, -1.76394, -1.43933, -1.3701, -1.48362, -0.974056, -1.16278, -1.25337
0.14, 0.0319375, 0.44037, 0.646396, 0.515036, 0.641842, 1.12756, 1.14176, 0.851511, 1.01856, 1.02944, 0.346564, 0.749365, 0.412034, 0.786946, 0.220623, -0.25294, -0.0641818, -0.252227, -1.02719, -0.748168, -0.663038, -1.29073, -1.65392, -1.89914, -1.58796, -1.20744, -1.19557, -1.46936, -1.18214, -1.40059, -1.42154
0.16, 0.0319375, 0.204197, 1.02495, 1.21644, 0.964541, 0.830002, 0.40676, 0.425046, 0.644787, 0.598162, 0.593724, 0.427161, 0.196152, -0.125972, 0.585086, -0.178307, -0.449632, -0.452659, -0.876311, -0.905717, -0.723711, -0.90542, -1.29839, -1.11034, -1.4449, -1.40224, -1.18007, -1.51744, -1.26658, -1.64715, -1.58489
0.18, 0.0319375, 0.991621, 1.26828, 0.77601, 0.539982, 1.27862, 1.12606, 0.313929, 0.661107, 0.734782, 0.218586, 0.151919, 0.277107, 0.313664, 0.1508, -0.281114, -0.484871, -0.617464, -0.70765, -0.545493, -1.31874, -1.08859, -1.23838, -1.28292, -1.4089, -1.51843, -1.50508, -1.2839, -1.29078, -1.19718, -1.42874
0.2, 0.0319375, 0.334142, 0.684302, 0.785743, 0.485336, 0.796634, 0.75804, 1.0982, 1.17796, 0.90463, -0.0204382, 0.436033, 0.153352, 0.085239, -0.102655, -0.121271, -0.559153, -0.634527, -0.346427, -0.529199, -1.08521, -1.10247, -1.17494, -1.30807, -1.32741, -1.43662, -1.52991, -1.30711, -1.37247, -1.66143, -1.64769
0.22, 0.0319375, 0.0936172, 1.18512, 1.01735, 0.963531, 0.94802, 0.982185, 0.764679, 1.04855, 0.577112, 0.71261, -0.0190913, 0.390381, 0.228321, 0.0282938, -0.348706, -0.67611, -0.69998, -0.831029, -0.737765, -0.792461, -1.07643, -1.35427, -1.3304, -1.21524, -1.57821, -1.41076, -1.11655, -1.47734, -1.40881, -1.31696
0.24, 0.0319375, 0.173035, 0.693834, 0.36124, 0.366529, 0.121637, 0.372897, 0.695819, 0.888248, 0.67944, 0.630027, 0.550576, -0.33115, 0.197534, 0.576096, 0.154361, -0.121842, -0.403549, -0.654732, -1.00631, -1.45001, -0.858443, -1.13456, -1.54858, -1.49401, -1.24865, -1.69933, -1.55713, -1.29926, -1.12496, -1.45247
