# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0, 0.0319375, -2.62213, -3.0151, -2.62312, -2.46381, -2.8027, -2.5755, -2.66057, -2.53234, -2.84794, -2.17327, -2.16333, -2.55001, -2.87985, -2.83101, -3.34865, -2.95657, -2.89225, -2.91572, -2.82562, -2.80475, -2.96619, -3.41373, -3.18499, -3.22395, -3.28848, -3.34799, -3.44328, -2.88379, -3.04189, -3.09158
0.02, 0.0319375, -2.67755, -1.9712, -2.1607, -2.64895, -2.50826, -2.79425, -3.59037, -2.6144, -2.31522, -2.35735, -1.96055, -2.30124, -2.60612, -2.85635, -3.10933, -2.84755, -2.39474, -2.87549, -2.73186, -2.8855, -2.96237, -3.3079, -3.12112, -3.23015, -3.08598, -3.08015, -3.10087, -2.85243, -3.17539, -3.17682
0.04, 0.0319375, -3.02776, -3.36697, -2.82814, -2.54837, -2.7091, -2.00586, -2.04975, -2.4697, -2.00107, -2.16381, -2.44864, -2.58104, -2.44643, -3.15934, -2.60588, -2.89174, -3.28515, -2.81362, -2.83766, -3.11631, -2.85007, -3.00026, -2.81944, -2.80523, -2.901, -3.20341, -3.57426, -2.77378, -3.03555, -3.16893
0.06, 0.0319375, -2.7083, -3.03285, -2.394, -2.86739, -2.87648, -2.68112, -2.14302, -2.65156, -2.48603, -3.06666, -2.91854, -2.16096, -2.05193, -3.01486, -3.38734, -3.18113, -3.13698, -3.20762, -3.18034, -2.89611, -3.12542, -3.08206, -2.74581, -3.14677, -2.85545, -2.22465, -2.56654, -2.82125, -2.87669, -2.67813
0.08, 0.0319375, -2.56135, -2.336, -2.93111, -3.59653, -2.69839, -2.23266, -2.94648, -3.53117, -3.43721, -2.45294, -3.09031, -2.3993, -2.33082, -3.10916, -2.95019, -3.05186, -3.29027, -2.87705, -2.90185, -3.38189, -2.7611, -2.83924, -2.95835, -2.96381, -3.37109, -3.1644, -2.9325, -3.09622, -3.02781, -2.78325
0.1, 0.0319375, -3.1475, -2.59026, -1.99493, -3.16521, -3.07226, -3.11049, -2.55679, -2.83767, -2.76238, -2.60603, -2.61601, -2.81427, -2.93475, -3.41086, -3.07414, -3.11175, -3.04966, -2.94236, -2.93299, -2.98117, -2.88602, -2.74824, -3.18983, -3.19646, -3.45168, -3.35936, -3.01795, -3.10494, -3.21738, -2.82632
0.12, 0.0319375, -3.4751, -2.60988, -2.43263, -2.5587, -2.73031, -2.85524, -2.77426, -3.25064, -2.28268, -2.74894, -3.21452, -2.26958, -2.95991, -3.16968, -3.32261, -3.10742, -2.74883, -2.49272, -3.20844, -3.2221, -3.0248, -3.242, -3.02457, -3.3553, -3.13622, -3.33813, -3.18921, -3.37905, -3.31631, -3.1705
0.14, 0.0319375, -2.26792, -2.18184, -3.17664, -2.77108, -2.98233, -2.76483, -2.79943, -3.11953, -3.01387, -2.36016, -2.80473, -2.60342, -2.66307, -2.77746, -2.92923, -2.97832, -3.33211, -3.51483, -3.30267, -2.9127, -3.28237, -3.29315, -3.3547, -3.0303, -2.92018, -3.01459, -3.27752, -3.09196, -3.18858, -2.99524
0.16, 0.0319375, -3.06924, -2.77884, -1.95344, -2.64703, -3.20544, -3.19695, -2.92729, -2.48804, -3.08081, -3.07352, -2.63034, -3.03981, -2.36496, -2.59223, -3.53932, -3.61897, -2.98331, -3.01643, -3.27628, -2.76815, -2.98805, -2.9849, -3.34178, -3.44589, -3.29517, -3.19216, -3.03734, -3.26834, -3.4009, -3.24849
0.18, 0.0319375, -2.79318, -2.76945, -2.51139, -2.44449, -2.2946, -2.79668, -2.53369, -2.91679, -3.24977, -3.00991, -2.36938, -3.06451, -3.06526, -3.06788, -3.22319, -3.74555, -3.3014, -3.04548, -3.06597, -3.31905, -3.33663, -3.26354, -3.56679, -3.17847, -3.11019, -3.44653, -2.94845, -3.07396, -2.9827, -2.92546
